timestamp,datetime,urllc_rtt_ms,urllc_rtt_max_ms,urllc_fails,embb_mbps,embb_rate_mbit,mmtc_msgs,mmtc_rate_per_min,sla_violated,orchestrator_type,orchestrator_state,violation_streak,recovery_streak,action_taken,decision_latency_ms,reasoning,node_cpu_percent,node_memory_percent,traffic_level,orchestrator_label,embb_ue_count,urllc_ue_count,mmtc_ue_count,run_id,sample_index,root_cause_assessment,reasoning_category,lever_validity_score,candidate_action,wla_activated,wrong_action_prevented,memory_retrieval_count,memory_assisted,memory_reinforced,memory_overridden,tokens_used,confidence
1780931496.030332,2026-06-08 20:41:36,13.81,17.6,0,156.7,1000,311,155.5,0,agentic,0,0,1,no_action,254.2,RTT=13.8ms within SLA. Root cause: embb_congestion. No intervention required. LVS=0.74.,87.8,73.5,high,agentic,3,3,5,rb_high_20260608_224136,0,embb_congestion,no_intervention,0.739,no_action,0,0,0,0,0,0,300,0.824
1780931498.030332,2026-06-08 20:41:38,13.32,17.9,0,187.5,1000,413,206.5,0,agentic,0,0,2,no_action,175.7,RTT=13.3ms within SLA. Root cause: nominal. No intervention required. LVS=0.94.,79.6,72.0,high,agentic,3,3,5,rb_high_20260608_224136,1,nominal,no_intervention,0.945,no_action,0,0,0,0,0,0,215,0.97
1780931500.030332,2026-06-08 20:41:40,13.26,18.8,0,207.9,1000,395,197.5,0,agentic,0,0,3,no_action,317.0,RTT=13.3ms within SLA. Root cause: nominal. No intervention required. LVS=0.89.,73.9,69.4,high,agentic,3,3,5,rb_high_20260608_224136,2,nominal,no_intervention,0.894,no_action,0,0,0,0,0,0,176,0.97
1780931502.030332,2026-06-08 20:41:42,12.77,17.2,0,188.0,1000,329,164.5,0,agentic,0,0,4,no_action,249.4,RTT=12.8ms within SLA. Root cause: nominal. No intervention required. LVS=0.93.,76.0,63.5,high,agentic,3,3,5,rb_high_20260608_224136,3,nominal,no_intervention,0.927,no_action,0,0,2,0,0,0,445,0.97
1780931504.030332,2026-06-08 20:41:44,13.46,20.0,0,163.7,1000,380,190.0,0,agentic,0,0,5,no_action,144.9,RTT=13.5ms within SLA. Root cause: nominal. No intervention required. LVS=0.83.,72.0,74.2,high,agentic,3,3,5,rb_high_20260608_224136,4,nominal,no_intervention,0.827,no_action,0,0,2,1,1,0,350,0.97
1780931506.030332,2026-06-08 20:41:46,13.16,13.6,0,202.3,1000,276,138.0,0,agentic,0,0,6,no_action,163.2,RTT=13.2ms within SLA. Root cause: nominal. No intervention required. LVS=0.88.,76.5,76.7,high,agentic,3,3,5,rb_high_20260608_224136,5,nominal,no_intervention,0.88,no_action,0,0,1,1,1,0,226,0.97
1780931508.030332,2026-06-08 20:41:48,12.73,16.4,0,194.6,1000,402,201.0,0,agentic,0,0,7,no_action,194.4,RTT=12.7ms within SLA. Root cause: nominal. No intervention required. LVS=0.95.,84.2,70.1,high,agentic,3,3,5,rb_high_20260608_224136,6,nominal,no_intervention,0.947,no_action,0,0,4,0,0,0,263,0.97
1780931510.030332,2026-06-08 20:41:50,13.33,17.9,0,190.9,1000,265,132.5,0,agentic,0,0,8,no_action,86.7,RTT=13.3ms within SLA. Root cause: nominal. No intervention required. LVS=0.73.,80.5,57.9,high,agentic,3,3,5,rb_high_20260608_224136,7,nominal,no_intervention,0.729,no_action,0,0,5,0,0,0,338,0.794
1780931512.030332,2026-06-08 20:41:52,12.77,20.2,0,133.0,1000,442,221.0,0,agentic,0,0,9,no_action,299.6,RTT=12.8ms within SLA. Root cause: nominal. No intervention required. LVS=0.88.,74.0,69.6,high,agentic,3,3,5,rb_high_20260608_224136,8,nominal,no_intervention,0.879,no_action,0,0,1,0,0,0,404,0.97
1780931514.030332,2026-06-08 20:41:54,13.25,17.0,0,170.6,1000,407,203.5,0,agentic,0,0,10,no_action,285.8,RTT=13.2ms within SLA. Root cause: nominal. No intervention required. LVS=0.95.,75.4,69.6,high,agentic,3,3,5,rb_high_20260608_224136,9,nominal,no_intervention,0.949,no_action,0,0,5,1,0,0,388,0.97
