timestamp,datetime,urllc_rtt_ms,urllc_rtt_max_ms,urllc_fails,embb_mbps,embb_rate_mbit,mmtc_msgs,mmtc_rate_per_min,sla_violated,orchestrator_type,orchestrator_state,violation_streak,recovery_streak,action_taken,decision_latency_ms,reasoning,node_cpu_percent,node_memory_percent,traffic_level,orchestrator_label,embb_ue_count,urllc_ue_count,mmtc_ue_count,run_id,sample_index,root_cause_assessment,reasoning_category,lever_validity_score,candidate_action,wla_activated,wrong_action_prevented,memory_retrieval_count,memory_assisted,memory_reinforced,memory_overridden,tokens_used,confidence
1780931495.639192,2026-06-08 20:41:35,12.53,17.8,0,152.1,1000,83,41.5,0,agentic,0,0,1,no_action,194.5,RTT=12.5ms within SLA. Root cause: nominal. No intervention required. LVS=0.83.,9.6,68.3,low,agentic,1,1,1,rb_low_20260608_224135,0,nominal,no_intervention,0.83,no_action,0,0,0,0,0,0,248,0.939
1780931497.639192,2026-06-08 20:41:37,12.82,14.1,0,188.4,1000,64,32.0,0,agentic,0,0,2,no_action,203.5,RTT=12.8ms within SLA. Root cause: nominal. No intervention required. LVS=0.81.,25.5,65.8,low,agentic,1,1,1,rb_low_20260608_224135,1,nominal,no_intervention,0.806,no_action,0,0,0,0,0,0,278,0.846
1780931499.639192,2026-06-08 20:41:39,13.69,21.4,0,140.3,1000,63,31.5,0,agentic,0,0,3,no_action,267.6,RTT=13.7ms within SLA. Root cause: nominal. No intervention required. LVS=0.95.,22.1,67.9,low,agentic,1,1,1,rb_low_20260608_224135,2,nominal,no_intervention,0.946,no_action,0,0,0,0,0,0,210,0.97
1780931501.639192,2026-06-08 20:41:41,13.31,21.2,0,101.6,1000,75,37.5,0,agentic,0,0,4,no_action,90.1,RTT=13.3ms within SLA. Root cause: nominal. No intervention required. LVS=0.85.,17.7,66.0,low,agentic,1,1,1,rb_low_20260608_224135,3,nominal,no_intervention,0.847,no_action,0,0,1,0,0,0,259,0.97
1780931503.639192,2026-06-08 20:41:43,13.21,15.8,0,71.5,1000,111,55.5,0,agentic,0,0,5,no_action,247.5,RTT=13.2ms within SLA. Root cause: nominal. No intervention required. LVS=0.90.,21.7,70.1,low,agentic,1,1,1,rb_low_20260608_224135,4,nominal,no_intervention,0.9,no_action,0,0,4,1,0,0,175,0.97
1780931505.639192,2026-06-08 20:41:45,13.62,14.8,0,61.5,1000,94,47.0,0,agentic,0,0,6,no_action,249.5,RTT=13.6ms within SLA. Root cause: nominal. No intervention required. LVS=0.77.,13.8,73.0,low,agentic,1,1,1,rb_low_20260608_224135,5,nominal,no_intervention,0.768,no_action,0,0,2,0,0,0,219,0.916
1780931507.639192,2026-06-08 20:41:47,12.44,16.4,0,126.7,1000,88,44.0,0,agentic,0,0,7,no_action,303.0,RTT=12.4ms within SLA. Root cause: nominal. No intervention required. LVS=0.83.,19.7,69.0,low,agentic,1,1,1,rb_low_20260608_224135,6,nominal,no_intervention,0.826,no_action,0,0,3,1,1,0,455,0.882
1780931509.639192,2026-06-08 20:41:49,13.91,15.4,0,74.8,1000,96,48.0,0,agentic,0,0,8,no_action,252.5,RTT=13.9ms within SLA. Root cause: embb_congestion. No intervention required. LVS=0.84.,18.4,65.5,low,agentic,1,1,1,rb_low_20260608_224135,7,embb_congestion,no_intervention,0.841,no_action,0,0,5,0,0,0,197,0.97
1780931511.639192,2026-06-08 20:41:51,12.85,19.4,0,113.7,1000,50,25.0,0,agentic,0,0,9,no_action,176.6,RTT=12.8ms within SLA. Root cause: nominal. No intervention required. LVS=0.89.,24.9,67.2,low,agentic,1,1,1,rb_low_20260608_224135,8,nominal,no_intervention,0.894,no_action,0,0,5,1,0,0,438,0.97
1780931513.639192,2026-06-08 20:41:53,12.62,15.4,0,133.0,1000,95,47.5,0,agentic,0,0,10,no_action,284.0,RTT=12.6ms within SLA. Root cause: nominal. No intervention required. LVS=0.92.,13.1,64.6,low,agentic,1,1,1,rb_low_20260608_224135,9,nominal,no_intervention,0.916,no_action,0,0,3,1,1,0,198,0.97
