timestamp,datetime,urllc_rtt_ms,urllc_rtt_max_ms,urllc_fails,embb_mbps,embb_rate_mbit,mmtc_msgs,mmtc_rate_per_min,sla_violated,orchestrator_type,orchestrator_state,violation_streak,recovery_streak,action_taken,decision_latency_ms,reasoning,node_cpu_percent,node_memory_percent,traffic_level,orchestrator_label,embb_ue_count,urllc_ue_count,mmtc_ue_count,run_id,sample_index,root_cause_assessment,reasoning_category,lever_validity_score,candidate_action,wla_activated,wrong_action_prevented,memory_retrieval_count,memory_assisted,memory_reinforced,memory_overridden,tokens_used,confidence
1780931495.826986,2026-06-08 20:41:35,13.01,17.0,0,352.4,1000,204,102.0,0,agentic,0,0,1,no_action,286.9,RTT=13.0ms within SLA. Root cause: nominal. No intervention required. LVS=0.79.,38.5,73.2,medium,agentic,3,3,3,rb_medium_20260608_224135,0,nominal,no_intervention,0.788,no_action,0,0,0,0,0,0,438,0.9
1780931497.826986,2026-06-08 20:41:37,13.07,18.7,0,16.8,1000,207,103.5,0,agentic,0,0,2,no_action,145.5,RTT=13.1ms within SLA. Root cause: nominal. No intervention required. LVS=0.80.,48.2,79.8,medium,agentic,3,3,3,rb_medium_20260608_224135,1,nominal,no_intervention,0.804,no_action,0,0,0,0,0,0,395,0.97
1780931499.826986,2026-06-08 20:41:39,14.23,23.2,0,20.3,500,223,111.5,0,agentic,1,0,1,throttle_preemptive,294.3,RTT=14.2ms trending rising (slope=0.61ms/s). Root cause: embb_congestion. Pre-emptive throttle before SLA breach. LVS=0.95.,38.8,68.2,medium,agentic,3,3,3,rb_medium_20260608_224135,2,embb_congestion,proactive_throttle,0.95,throttle_preemptive,0,0,0,0,0,0,365,0.97
1780931501.826986,2026-06-08 20:41:41,13.17,16.9,0,16.8,500,269,134.5,0,agentic,1,0,2,no_action,299.8,RTT=13.2ms within SLA. Root cause: nominal. No intervention required. LVS=0.92.,38.8,72.3,medium,agentic,3,3,3,rb_medium_20260608_224135,3,nominal,no_intervention,0.921,no_action,0,0,3,1,1,0,444,0.97
1780931503.826986,2026-06-08 20:41:43,12.8,16.4,0,11.1,500,369,184.5,0,agentic,1,0,3,no_action,256.3,RTT=12.8ms within SLA. Root cause: nominal. No intervention required. LVS=0.89.,47.6,81.6,medium,agentic,3,3,3,rb_medium_20260608_224135,4,nominal,no_intervention,0.89,no_action,0,0,1,1,1,0,374,0.97
1780931505.826986,2026-06-08 20:41:45,13.74,14.2,0,19.4,500,282,141.0,0,agentic,1,0,4,no_action,241.3,RTT=13.7ms within SLA. Root cause: recovery_phase. No intervention required. LVS=0.81.,47.7,67.8,medium,agentic,3,3,3,rb_medium_20260608_224135,5,recovery_phase,no_intervention,0.811,no_action,0,0,2,0,0,0,468,0.896
1780931507.826986,2026-06-08 20:41:47,12.94,21.2,0,13.2,500,280,140.0,0,agentic,1,0,5,no_action,232.7,RTT=12.9ms within SLA. Root cause: nominal. No intervention required. LVS=0.74.,46.4,65.5,medium,agentic,3,3,3,rb_medium_20260608_224135,6,nominal,no_intervention,0.736,no_action,0,0,4,1,1,0,316,0.842
1780931509.826986,2026-06-08 20:41:49,12.86,17.1,0,20.5,1000,264,132.0,0,agentic,0,0,6,restore_embb,238.2,RTT stable at 12.9ms. Root cause: nominal. Graduated eMBB restore. LVS=0.87.,43.3,78.9,medium,agentic,3,3,3,rb_medium_20260608_224135,7,nominal,graduated_restore,0.872,restore_embb,0,0,3,1,0,0,302,0.97
1780931511.826986,2026-06-08 20:41:51,13.22,14.9,0,15.2,1000,225,112.5,0,agentic,0,0,7,no_action,105.8,RTT=13.2ms within SLA. Root cause: nominal. No intervention required. LVS=0.93.,45.3,64.5,medium,agentic,3,3,3,rb_medium_20260608_224135,8,nominal,no_intervention,0.928,no_action,0,0,2,1,1,0,477,0.97
1780931513.826986,2026-06-08 20:41:53,12.76,26.2,1,11.6,1000,277,138.5,0,agentic,0,0,8,no_action,343.7,RTT=12.8ms within SLA. Root cause: nominal. No intervention required. LVS=0.76.,42.5,70.8,medium,agentic,3,3,3,rb_medium_20260608_224135,9,nominal,no_intervention,0.758,no_action,0,0,3,1,1,0,476,0.921
1780931515.826986,2026-06-08 20:41:55,29.23,35.9,1,16.1,200,206,103.0,1,agentic,1,1,0,no_action,84.7,RTT=29.2ms within SLA. Root cause: embb_congestion. No intervention required. LVS=0.82.,48.6,68.7,medium,agentic,3,3,3,rb_medium_20260608_224135,10,embb_congestion,no_intervention,0.817,no_action,0,0,1,1,1,0,442,0.947
1780931517.826986,2026-06-08 20:41:57,14.69,31.6,1,14.0,200,327,163.5,0,agentic,1,0,1,no_action,168.2,RTT=14.7ms within SLA. Root cause: urllc_degradation. No intervention required. LVS=0.86.,39.2,72.6,medium,agentic,3,3,3,rb_medium_20260608_224135,11,urllc_degradation,no_intervention,0.856,no_action,0,0,5,1,1,0,272,0.915
1780931519.826986,2026-06-08 20:41:59,13.31,22.8,0,9.7,200,240,120.0,0,agentic,1,0,2,hold_throttle,185.8,"Maintaining throttle. RTT=13.3ms, root cause: nominal. Recovery streak not met. LVS=0.74.",46.5,69.9,medium,agentic,3,3,3,rb_medium_20260608_224135,12,nominal,hold_stable,0.742,hold_throttle,0,0,5,0,0,0,242,0.879
1780931521.826986,2026-06-08 20:42:01,15.34,38.5,1,11.9,200,336,168.0,1,agentic,1,1,0,no_action,82.9,Candidate action identified but root cause is 'recovery_phase' (LVS=0.48 < threshold). WLA overrides to no_action — prevents non-causal intervention on transient event.,46.1,77.5,medium,agentic,3,3,3,rb_medium_20260608_224135,13,recovery_phase,wla_override,0.483,throttle_embb,1,1,4,1,0,0,222,0.556
