timestamp,datetime,urllc_rtt_ms,urllc_rtt_max_ms,urllc_fails,embb_mbps,embb_rate_mbit,mmtc_msgs,mmtc_rate_per_min,sla_violated,orchestrator_type,orchestrator_state,violation_streak,recovery_streak,action_taken,decision_latency_ms,reasoning,node_cpu_percent,node_memory_percent,traffic_level,orchestrator_label,embb_ue_count,urllc_ue_count,mmtc_ue_count,run_id,sample_index
1780931496.030332,2026-06-08 20:41:36,14.26,17.6,0,156.7,1000,311,155.5,0,rule_based,0,0,1,no_action,0.399,RTT=14.3ms within SLA (<15.0ms); eMBB at 1000Mbit — no action required,87.8,73.5,high,rule_based,3,3,5,rb_high_20260608_224136,0
1780931498.030332,2026-06-08 20:41:38,14.42,17.9,0,187.5,1000,413,206.5,0,rule_based,0,0,2,no_action,0.152,RTT=14.4ms within SLA (<15.0ms); eMBB at 1000Mbit — no action required,79.6,72.0,high,rule_based,3,3,5,rb_high_20260608_224136,1
1780931500.030332,2026-06-08 20:41:40,12.5,18.8,0,207.9,1000,395,197.5,0,rule_based,0,0,3,no_action,0.682,RTT=12.5ms within SLA (<15.0ms); eMBB at 1000Mbit — no action required,73.9,69.4,high,rule_based,3,3,5,rb_high_20260608_224136,2
1780931502.030332,2026-06-08 20:41:42,12.63,17.2,0,188.0,1000,329,164.5,0,rule_based,0,0,4,no_action,0.86,RTT=12.6ms within SLA (<15.0ms); eMBB at 1000Mbit — no action required,76.0,63.5,high,rule_based,3,3,5,rb_high_20260608_224136,3
1780931504.030332,2026-06-08 20:41:44,12.9,20.0,0,163.7,1000,380,190.0,0,rule_based,0,0,5,no_action,0.599,RTT=12.9ms within SLA (<15.0ms); eMBB at 1000Mbit — no action required,72.0,74.2,high,rule_based,3,3,5,rb_high_20260608_224136,4
1780931506.030332,2026-06-08 20:41:46,12.5,13.6,0,202.3,1000,276,138.0,0,rule_based,0,0,6,no_action,0.172,RTT=12.5ms within SLA (<15.0ms); eMBB at 1000Mbit — no action required,76.5,76.7,high,rule_based,3,3,5,rb_high_20260608_224136,5
1780931508.030332,2026-06-08 20:41:48,12.5,16.4,0,194.6,1000,402,201.0,0,rule_based,0,0,7,no_action,0.885,RTT=12.5ms within SLA (<15.0ms); eMBB at 1000Mbit — no action required,84.2,70.1,high,rule_based,3,3,5,rb_high_20260608_224136,6
1780931510.030332,2026-06-08 20:41:50,13.02,17.9,0,190.9,1000,265,132.5,0,rule_based,0,0,8,no_action,0.629,RTT=13.0ms within SLA (<15.0ms); eMBB at 1000Mbit — no action required,80.5,57.9,high,rule_based,3,3,5,rb_high_20260608_224136,7
1780931512.030332,2026-06-08 20:41:52,12.5,20.2,0,133.0,1000,442,221.0,0,rule_based,0,0,9,no_action,0.393,RTT=12.5ms within SLA (<15.0ms); eMBB at 1000Mbit — no action required,74.0,69.6,high,rule_based,3,3,5,rb_high_20260608_224136,8
1780931514.030332,2026-06-08 20:41:54,12.5,17.0,0,170.6,1000,407,203.5,0,rule_based,0,0,10,no_action,0.362,RTT=12.5ms within SLA (<15.0ms); eMBB at 1000Mbit — no action required,75.4,69.6,high,rule_based,3,3,5,rb_high_20260608_224136,9
