ts,slice,iface,ip,rx,rxp,tx,txp,rtt_ms,loss,exists
2025-12-10T19:18:29.622299Z,embb,uesimtun0,10.45.0.2,61814,1240,63527,1029,1.386,0,1
2025-12-10T19:18:29.622299Z,urllc,uesimtun1,10.46.0.2,1377,33,2426,40,1.000,0,1
2025-12-10T19:18:29.622299Z,mmtc,uesimtun2,10.47.0.2,1640,41,2908,48,1.109,0,1
2025-12-10T19:18:29.872609Z,embb,uesimtun0,10.45.0.2,63749,1279,65604,1064,1.623,0,1
2025-12-10T19:18:29.872609Z,urllc,uesimtun1,10.46.0.2,1542,36,2670,45,1.055,0,1
2025-12-10T19:18:29.872609Z,mmtc,uesimtun2,10.47.0.2,1845,45,3212,54,1.285,0,1
2025-12-10T19:18:30.122741Z,embb,uesimtun0,10.45.0.2,63914,1282,65848,1069,1.565,0,1
2025-12-10T19:18:30.122741Z,urllc,uesimtun1,10.46.0.2,1707,39,2914,50,1.321,0,1
2025-12-10T19:18:30.122741Z,mmtc,uesimtun2,10.47.0.2,2062,49,3496,60,1.029,0,1
2025-12-10T19:18:30.373041Z,embb,uesimtun0,10.45.0.2,64079,1285,66092,1074,3.374,0,1
2025-12-10T19:18:30.373041Z,urllc,uesimtun1,10.46.0.2,1924,43,3198,56,1.124,0,1
2025-12-10T19:18:30.373041Z,mmtc,uesimtun2,10.47.0.2,2267,53,3800,66,0.993,0,1
2025-12-10T19:18:30.622687Z,embb,uesimtun0,10.45.0.2,64541,1294,66642,1084,1.084,0,1
2025-12-10T19:18:30.622687Z,urllc,uesimtun1,10.46.0.2,2089,46,3442,61,0.960,0,1
2025-12-10T19:18:30.622687Z,mmtc,uesimtun2,10.47.0.2,2484,57,4084,72,0.958,0,1
2025-12-10T19:18:30.872581Z,embb,uesimtun0,10.45.0.2,66882,1340,69068,1124,1.116,0,1
2025-12-10T19:18:30.872581Z,urllc,uesimtun1,10.46.0.2,2254,49,3686,66,0.914,0,1
2025-12-10T19:18:30.872581Z,mmtc,uesimtun2,10.47.0.2,2649,60,4328,77,0.997,0,1
2025-12-10T19:18:31.122747Z,embb,uesimtun0,10.45.0.2,67304,1348,69565,1133,1.413,0,1
2025-12-10T19:18:31.122747Z,urllc,uesimtun1,10.46.0.2,2459,53,3990,72,1.061,0,1
2025-12-10T19:18:31.122747Z,mmtc,uesimtun2,10.47.0.2,2814,63,4572,82,1.179,0,1
2025-12-10T19:18:31.372330Z,embb,uesimtun0,10.45.0.2,67469,1351,69809,1138,1.161,0,1
2025-12-10T19:18:31.372330Z,urllc,uesimtun1,10.46.0.2,2624,56,4234,77,0.902,0,1
2025-12-10T19:18:31.372330Z,mmtc,uesimtun2,10.47.0.2,3059,68,4936,89,0.971,0,1
2025-12-10T19:18:31.622904Z,embb,uesimtun0,10.45.0.2,68188,1365,70612,1152,1.042,0,1
2025-12-10T19:18:31.622904Z,urllc,uesimtun1,10.46.0.2,2841,60,4518,83,0.860,0,1
2025-12-10T19:18:31.622904Z,mmtc,uesimtun2,10.47.0.2,3224,71,5180,94,0.837,0,1
2025-12-10T19:18:32.028355Z,embb,uesimtun0,10.45.0.2,68938,1378,72569,1183,3.246,0,1
2025-12-10T19:18:32.028355Z,urllc,uesimtun1,10.46.0.2,3098,65,4910,91,1.570,0,1
2025-12-10T19:18:32.028355Z,mmtc,uesimtun2,10.47.0.2,3429,75,5532,101,1.382,0,1
2025-12-10T19:18:32.122727Z,embb,uesimtun0,10.45.0.2,71745,1439,74570,1219,8.715,0,1
2025-12-10T19:18:32.122727Z,urllc,uesimtun1,10.46.0.2,3315,69,5194,97,3.524,0,1
2025-12-10T19:18:32.122727Z,mmtc,uesimtun2,10.47.0.2,3594,78,5776,106,3.813,0,1
2025-12-10T19:18:32.373078Z,embb,uesimtun0,10.45.0.2,71910,1442,74814,1224,1.639,0,1
2025-12-10T19:18:32.373078Z,urllc,uesimtun1,10.46.0.2,3480,72,5438,102,1.573,0,1
2025-12-10T19:18:32.373078Z,mmtc,uesimtun2,10.47.0.2,3759,81,6020,111,1.226,0,1
2025-12-10T19:18:32.622822Z,embb,uesimtun0,10.45.0.2,72669,1457,75670,1239,2.005,0,1
2025-12-10T19:18:32.622822Z,urllc,uesimtun1,10.46.0.2,3697,76,5722,108,0.902,0,1
2025-12-10T19:18:32.622822Z,mmtc,uesimtun2,10.47.0.2,3976,85,6304,117,0.882,0,1
2025-12-10T19:18:32.872814Z,embb,uesimtun0,10.45.0.2,72834,1460,75914,1244,1.289,0,1
2025-12-10T19:18:32.872814Z,urllc,uesimtun1,10.46.0.2,3862,79,5966,113,0.870,0,1
2025-12-10T19:18:32.872814Z,mmtc,uesimtun2,10.47.0.2,4181,89,6608,123,0.983,0,1
2025-12-10T19:18:33.123062Z,embb,uesimtun0,10.45.0.2,75893,1522,79162,1298,5.314,0,1
2025-12-10T19:18:33.123062Z,urllc,uesimtun1,10.46.0.2,4027,82,6210,118,1.738,0,1
2025-12-10T19:18:33.123062Z,mmtc,uesimtun2,10.47.0.2,4346,92,6852,128,1.195,0,1
2025-12-10T19:18:33.372771Z,embb,uesimtun0,10.45.0.2,76058,1525,79406,1303,1.616,0,1
2025-12-10T19:18:33.372771Z,urllc,uesimtun1,10.46.0.2,4192,85,6454,123,1.138,0,1
2025-12-10T19:18:33.372771Z,mmtc,uesimtun2,10.47.0.2,4511,95,7096,133,1.140,0,1
2025-12-10T19:18:33.622423Z,embb,uesimtun0,10.45.0.2,76817,1540,80261,1318,2.981,0,1
2025-12-10T19:18:33.622423Z,urllc,uesimtun1,10.46.0.2,4397,89,6758,129,1.138,0,1
2025-12-10T19:18:33.622423Z,mmtc,uesimtun2,10.47.0.2,4676,98,7340,138,1.201,0,1
2025-12-10T19:18:33.872852Z,embb,uesimtun0,10.45.0.2,76982,1543,80505,1323,1.581,0,1
2025-12-10T19:18:33.872852Z,urllc,uesimtun1,10.46.0.2,4614,93,7042,135,1.336,0,1
2025-12-10T19:18:33.872852Z,mmtc,uesimtun2,10.47.0.2,4841,101,7584,143,1.046,0,1
2025-12-10T19:18:34.122674Z,embb,uesimtun0,10.45.0.2,80314,1611,84061,1382,6.141,0,1
2025-12-10T19:18:34.122674Z,urllc,uesimtun1,10.46.0.2,4779,96,7286,140,1.838,0,1
2025-12-10T19:18:34.122674Z,mmtc,uesimtun2,10.47.0.2,5006,104,7828,148,1.174,0,1
2025-12-10T19:18:34.372784Z,embb,uesimtun0,10.45.0.2,80479,1614,84305,1387,1.304,0,1
2025-12-10T19:18:34.372784Z,urllc,uesimtun1,10.46.0.2,4944,99,7530,145,1.017,0,1
2025-12-10T19:18:34.372784Z,mmtc,uesimtun2,10.47.0.2,5171,107,8072,153,0.999,0,1
2025-12-10T19:18:34.622655Z,embb,uesimtun0,10.45.0.2,81238,1629,85148,1402,1.453,0,1
2025-12-10T19:18:34.622655Z,urllc,uesimtun1,10.46.0.2,5109,102,7774,150,1.252,0,1
2025-12-10T19:18:34.622655Z,mmtc,uesimtun2,10.47.0.2,5336,110,8316,158,1.113,0,1
2025-12-10T19:18:34.872703Z,embb,uesimtun0,10.45.0.2,81403,1632,85392,1407,1.436,0,1
2025-12-10T19:18:34.872703Z,urllc,uesimtun1,10.46.0.2,5274,105,8018,155,1.120,0,1
2025-12-10T19:18:34.872703Z,mmtc,uesimtun2,10.47.0.2,5501,113,8560,163,0.946,0,1
2025-12-10T19:18:35.122616Z,embb,uesimtun0,10.45.0.2,83491,1674,87618,1444,1.119,0,1
2025-12-10T19:18:35.122616Z,urllc,uesimtun1,10.46.0.2,5519,110,8382,162,1.171,0,1
2025-12-10T19:18:35.122616Z,mmtc,uesimtun2,10.47.0.2,5666,116,8804,168,1.188,0,1
2025-12-10T19:18:35.374447Z,embb,uesimtun0,10.45.0.2,83656,1677,87862,1449,1.237,0,1
2025-12-10T19:18:35.374447Z,urllc,uesimtun1,10.46.0.2,5776,115,8726,169,0.973,0,1
2025-12-10T19:18:35.374447Z,mmtc,uesimtun2,10.47.0.2,5911,121,9168,175,0.975,0,1
2025-12-10T19:18:35.622797Z,embb,uesimtun0,10.45.0.2,84078,1685,88359,1458,1.270,0,1
2025-12-10T19:18:35.622797Z,urllc,uesimtun1,10.46.0.2,5981,119,9030,175,0.939,0,1
2025-12-10T19:18:35.622797Z,mmtc,uesimtun2,10.47.0.2,6076,124,9412,180,1.283,0,1
2025-12-10T19:18:35.872868Z,embb,uesimtun0,10.45.0.2,84243,1688,88603,1463,1.717,0,1
2025-12-10T19:18:35.872868Z,urllc,uesimtun1,10.46.0.2,6186,123,9334,181,1.246,0,1
2025-12-10T19:18:35.872868Z,mmtc,uesimtun2,10.47.0.2,6293,128,9696,186,1.273,0,1
2025-12-10T19:18:36.122765Z,embb,uesimtun0,10.45.0.2,86275,1728,90724,1498,1.507,0,1
2025-12-10T19:18:36.122765Z,urllc,uesimtun1,10.46.0.2,6391,127,9638,187,1.498,0,1
2025-12-10T19:18:36.122765Z,mmtc,uesimtun2,10.47.0.2,6498,132,10000,192,1.181,0,1
2025-12-10T19:18:36.372639Z,embb,uesimtun0,10.45.0.2,86440,1731,90968,1503,1.354,0,1
2025-12-10T19:18:36.372639Z,urllc,uesimtun1,10.46.0.2,6676,133,10062,195,1.027,0,1
2025-12-10T19:18:36.372639Z,mmtc,uesimtun2,10.47.0.2,6743,137,10364,199,1.046,0,1
2025-12-10T19:18:36.623082Z,embb,uesimtun0,10.45.0.2,86862,1739,91465,1512,1.190,0,1
2025-12-10T19:18:36.623082Z,urllc,uesimtun1,10.46.0.2,6841,136,10306,200,0.890,0,1
2025-12-10T19:18:36.623082Z,mmtc,uesimtun2,10.47.0.2,6960,141,10648,205,0.989,0,1
2025-12-10T19:18:36.872647Z,embb,uesimtun0,10.45.0.2,87027,1742,91709,1517,1.367,0,1
2025-12-10T19:18:36.872647Z,urllc,uesimtun1,10.46.0.2,7006,139,10550,205,1.089,0,1
2025-12-10T19:18:36.872647Z,mmtc,uesimtun2,10.47.0.2,7125,144,10892,210,1.227,0,1
2025-12-10T19:18:37.122993Z,embb,uesimtun0,10.45.0.2,89203,1785,93974,1555,1.432,0,1
2025-12-10T19:18:37.122993Z,urllc,uesimtun1,10.46.0.2,7171,142,10794,210,1.096,0,1
2025-12-10T19:18:37.122993Z,mmtc,uesimtun2,10.47.0.2,7290,147,11136,215,1.225,0,1
2025-12-10T19:18:37.373058Z,embb,uesimtun0,10.45.0.2,89368,1788,94218,1560,1.673,0,1
2025-12-10T19:18:37.373058Z,urllc,uesimtun1,10.46.0.2,7336,145,11038,215,1.128,0,1
2025-12-10T19:18:37.373058Z,mmtc,uesimtun2,10.47.0.2,7495,151,11440,221,0.929,0,1
2025-12-10T19:18:37.622928Z,embb,uesimtun0,10.45.0.2,89533,1791,94462,1565,1.494,0,1
2025-12-10T19:18:37.622928Z,urllc,uesimtun1,10.46.0.2,7501,148,11282,220,1.225,0,1
2025-12-10T19:18:37.622928Z,mmtc,uesimtun2,10.47.0.2,7660,154,11684,226,1.002,0,1
2025-12-10T19:18:37.873083Z,embb,uesimtun0,10.45.0.2,89698,1794,94706,1570,2.318,0,1
2025-12-10T19:18:37.873083Z,urllc,uesimtun1,10.46.0.2,7666,151,11526,225,1.176,0,1
2025-12-10T19:18:37.873083Z,mmtc,uesimtun2,10.47.0.2,7825,157,11928,231,1.256,0,1
2025-12-10T19:18:38.123125Z,embb,uesimtun0,10.45.0.2,91930,1839,97090,1610,1.203,0,1
2025-12-10T19:18:38.123125Z,urllc,uesimtun1,10.46.0.2,7831,154,11770,230,1.077,0,1
2025-12-10T19:18:38.123125Z,mmtc,uesimtun2,10.47.0.2,7990,160,12172,236,0.952,0,1
2025-12-10T19:18:38.372416Z,embb,uesimtun0,10.45.0.2,92095,1842,97382,1616,1.402,0,1
2025-12-10T19:18:38.372416Z,urllc,uesimtun1,10.46.0.2,8036,158,12074,236,1.037,0,1
2025-12-10T19:18:38.372416Z,mmtc,uesimtun2,10.47.0.2,8195,164,12476,242,1.050,0,1
2025-12-10T19:18:38.622633Z,embb,uesimtun0,10.45.0.2,92557,1851,97932,1626,6.257,0,1
2025-12-10T19:18:38.622633Z,urllc,uesimtun1,10.46.0.2,8201,161,12318,241,1.220,0,1
2025-12-10T19:18:38.622633Z,mmtc,uesimtun2,10.47.0.2,8360,167,12720,247,1.217,0,1
2025-12-10T19:18:38.872833Z,embb,uesimtun0,10.45.0.2,92722,1854,98176,1631,1.435,0,1
2025-12-10T19:18:38.872833Z,urllc,uesimtun1,10.46.0.2,8458,166,12662,248,0.959,0,1
2025-12-10T19:18:38.872833Z,mmtc,uesimtun2,10.47.0.2,8525,170,12964,252,1.017,0,1
2025-12-10T19:18:39.122711Z,embb,uesimtun0,10.45.0.2,95388,1907,100962,1677,1.193,0,1
2025-12-10T19:18:39.122711Z,urllc,uesimtun1,10.46.0.2,8623,169,12906,253,0.975,0,1
2025-12-10T19:18:39.122711Z,mmtc,uesimtun2,10.47.0.2,8690,173,13208,257,1.078,0,1
