ts,slice,iface,ip,rx,rxp,tx,txp,rtt_ms,loss,exists
2025-12-25T18:31:40.841280Z,embb,ogstun,10.45.0.1,,,51520,920,0.671,0,1
2025-12-25T18:31:40.841280Z,urllc,uesimtun2,10.46.0.2,55094,1046,77308,1574,2.143,0,1
2025-12-25T18:31:40.841280Z,mmtc,uesimtun1,10.47.0.2,60688,1179,84956,1708,1.335,0,1
2025-12-25T18:31:41.091581Z,embb,ogstun,10.45.0.1,,,51520,920,0.275,0,1
2025-12-25T18:31:41.091581Z,urllc,uesimtun2,10.46.0.2,55259,1049,77552,1579,1.183,0,1
2025-12-25T18:31:41.091581Z,mmtc,uesimtun1,10.47.0.2,60985,1185,85360,1716,2.013,0,1
2025-12-25T18:31:41.341647Z,embb,ogstun,10.45.0.1,,,51520,920,0.231,0,1
2025-12-25T18:31:41.341647Z,urllc,uesimtun2,10.46.0.2,55424,1052,77796,1584,,1,1
2025-12-25T18:31:41.341647Z,mmtc,uesimtun1,10.47.0.2,61190,1189,85724,1723,1.438,0,1
2025-12-25T18:31:41.591361Z,embb,ogstun,10.45.0.1,,,51520,920,0.849,0,1
2025-12-25T18:31:41.591361Z,urllc,uesimtun2,10.46.0.2,55424,1052,77856,1585,2.082,0,1
2025-12-25T18:31:41.591361Z,mmtc,uesimtun1,10.47.0.2,61407,1193,86008,1729,1.358,0,1
2025-12-25T18:31:41.841756Z,embb,ogstun,10.45.0.1,,,51520,920,0.245,0,1
2025-12-25T18:31:41.841756Z,urllc,uesimtun2,10.46.0.2,55681,1057,78200,1592,1.232,0,1
2025-12-25T18:31:41.841756Z,mmtc,uesimtun1,10.47.0.2,61612,1197,86312,1735,1.794,0,1
2025-12-25T18:31:42.091574Z,embb,ogstun,10.45.0.1,,,51520,920,0.345,0,1
2025-12-25T18:31:42.091574Z,urllc,uesimtun2,10.46.0.2,55898,1061,78484,1598,1.184,0,1
2025-12-25T18:31:42.091574Z,mmtc,uesimtun1,10.47.0.2,61817,1201,86616,1741,2.081,0,1
2025-12-25T18:31:42.344009Z,embb,ogstun,10.45.0.1,,,51520,920,1.492,0,1
2025-12-25T18:31:42.344009Z,urllc,uesimtun2,10.46.0.2,56115,1065,78768,1604,,1,1
2025-12-25T18:31:42.344009Z,mmtc,uesimtun1,10.47.0.2,62034,1205,86960,1748,1.400,0,1
2025-12-25T18:31:42.591683Z,embb,ogstun,10.45.0.1,,,51520,920,0.257,0,1
2025-12-25T18:31:42.591683Z,urllc,uesimtun2,10.46.0.2,56155,1066,78888,1606,1.548,0,1
2025-12-25T18:31:42.591683Z,mmtc,uesimtun1,10.47.0.2,62199,1208,87204,1753,1.230,0,1
2025-12-25T18:31:42.842001Z,embb,ogstun,10.45.0.1,,,51520,920,0.237,0,1
2025-12-25T18:31:42.842001Z,urllc,uesimtun2,10.46.0.2,56412,1071,79192,1612,1.357,0,1
2025-12-25T18:31:42.842001Z,mmtc,uesimtun1,10.47.0.2,62416,1212,87448,1758,1.165,0,1
2025-12-25T18:31:43.091823Z,embb,ogstun,10.45.0.1,,,51520,920,0.324,0,1
2025-12-25T18:31:43.091823Z,urllc,uesimtun2,10.46.0.2,56577,1074,79436,1617,2.348,0,1
2025-12-25T18:31:43.091823Z,mmtc,uesimtun1,10.47.0.2,62621,1216,87752,1764,1.496,0,1
2025-12-25T18:31:43.341614Z,embb,ogstun,10.45.0.1,,,51520,920,0.250,0,1
2025-12-25T18:31:43.341614Z,urllc,uesimtun2,10.46.0.2,56742,1077,79680,1622,,1,1
2025-12-25T18:31:43.341614Z,mmtc,uesimtun1,10.47.0.2,62838,1220,88096,1771,2.334,0,1
2025-12-25T18:31:43.591410Z,embb,ogstun,10.45.0.1,,,51520,920,0.250,0,1
2025-12-25T18:31:43.591410Z,urllc,uesimtun2,10.46.0.2,56742,1077,79740,1623,1.853,0,1
2025-12-25T18:31:43.591410Z,mmtc,uesimtun1,10.47.0.2,63055,1224,88380,1777,2.129,0,1
2025-12-25T18:31:43.841768Z,embb,ogstun,10.45.0.1,,,51520,920,0.273,0,1
2025-12-25T18:31:43.841768Z,urllc,uesimtun2,10.46.0.2,56907,1080,79984,1628,2.725,0,1
2025-12-25T18:31:43.841768Z,mmtc,uesimtun1,10.47.0.2,63312,1229,88724,1784,1.065,0,1
2025-12-25T18:31:44.091614Z,embb,ogstun,10.45.0.1,,,51520,920,0.314,0,1
2025-12-25T18:31:44.091614Z,urllc,uesimtun2,10.46.0.2,57072,1083,80228,1633,2.659,0,1
2025-12-25T18:31:44.091614Z,mmtc,uesimtun1,10.47.0.2,63477,1232,88968,1789,1.977,0,1
2025-12-25T18:31:44.341573Z,embb,ogstun,10.45.0.1,,,51520,920,0.325,0,1
2025-12-25T18:31:44.341573Z,urllc,uesimtun2,10.46.0.2,57237,1086,80472,1638,,1,1
2025-12-25T18:31:44.341573Z,mmtc,uesimtun1,10.47.0.2,63734,1237,89312,1796,1.634,0,1
2025-12-25T18:31:44.591515Z,embb,ogstun,10.45.0.1,,,51520,920,0.347,0,1
2025-12-25T18:31:44.591515Z,urllc,uesimtun2,10.46.0.2,57237,1086,80532,1639,1.459,0,1
2025-12-25T18:31:44.591515Z,mmtc,uesimtun1,10.47.0.2,63951,1241,89556,1801,1.091,0,1
2025-12-25T18:31:44.841620Z,embb,ogstun,10.45.0.1,,,51520,920,0.211,0,1
2025-12-25T18:31:44.841620Z,urllc,uesimtun2,10.46.0.2,57574,1093,81044,1649,2.093,0,1
2025-12-25T18:31:44.841620Z,mmtc,uesimtun1,10.47.0.2,64168,1245,89840,1807,1.513,0,1
2025-12-25T18:31:45.091777Z,embb,ogstun,10.45.0.1,,,51520,920,0.794,0,1
2025-12-25T18:31:45.091777Z,urllc,uesimtun2,10.46.0.2,57779,1097,81348,1655,1.321,0,1
2025-12-25T18:31:45.091777Z,mmtc,uesimtun1,10.47.0.2,64373,1249,90144,1813,1.824,0,1
2025-12-25T18:31:45.341601Z,embb,ogstun,10.45.0.1,,,51520,920,0.270,0,1
2025-12-25T18:31:45.341601Z,urllc,uesimtun2,10.46.0.2,57944,1100,81592,1660,,1,1
2025-12-25T18:31:45.341601Z,mmtc,uesimtun1,10.47.0.2,64538,1252,90388,1818,1.373,0,1
2025-12-25T18:31:45.591403Z,embb,ogstun,10.45.0.1,,,51520,920,1.643,0,1
2025-12-25T18:31:45.591403Z,urllc,uesimtun2,10.46.0.2,57944,1100,81652,1661,2.477,0,1
2025-12-25T18:31:45.591403Z,mmtc,uesimtun1,10.47.0.2,64703,1255,90632,1823,1.957,0,1
2025-12-25T18:31:45.841792Z,embb,ogstun,10.45.0.1,,,51520,920,0.724,0,1
2025-12-25T18:31:45.841792Z,urllc,uesimtun2,10.46.0.2,58161,1104,81936,1667,2.188,0,1
2025-12-25T18:31:45.841792Z,mmtc,uesimtun1,10.47.0.2,64920,1259,90916,1829,1.454,0,1
2025-12-25T18:31:46.091609Z,embb,ogstun,10.45.0.1,,,51520,920,0.555,0,1
2025-12-25T18:31:46.091609Z,urllc,uesimtun2,10.46.0.2,58378,1108,82180,1672,2.726,0,1
2025-12-25T18:31:46.091609Z,mmtc,uesimtun1,10.47.0.2,65085,1262,91160,1834,2.628,0,1
2025-12-25T18:31:46.341707Z,embb,ogstun,10.45.0.1,,,51520,920,0.276,0,1
2025-12-25T18:31:46.341707Z,urllc,uesimtun2,10.46.0.2,58595,1112,82464,1678,,1,1
2025-12-25T18:31:46.341707Z,mmtc,uesimtun1,10.47.0.2,65250,1265,91404,1839,8.068,0,1
2025-12-25T18:31:46.591693Z,embb,ogstun,10.45.0.1,,,51520,920,0.371,0,1
2025-12-25T18:31:46.591693Z,urllc,uesimtun2,10.46.0.2,58595,1112,82524,1679,1.521,0,1
2025-12-25T18:31:46.591693Z,mmtc,uesimtun1,10.47.0.2,65415,1268,91648,1844,2.506,0,1
2025-12-25T18:31:46.842979Z,embb,ogstun,10.45.0.1,,,51520,920,0.338,0,1
2025-12-25T18:31:46.842979Z,urllc,uesimtun2,10.46.0.2,58760,1115,82768,1684,1.924,0,1
2025-12-25T18:31:46.842979Z,mmtc,uesimtun1,10.47.0.2,65712,1274,92052,1852,1.871,0,1
2025-12-25T18:31:47.091794Z,embb,ogstun,10.45.0.1,,,51520,920,0.292,0,1
2025-12-25T18:31:47.091794Z,urllc,uesimtun2,10.46.0.2,58977,1119,83052,1690,2.078,0,1
2025-12-25T18:31:47.091794Z,mmtc,uesimtun1,10.47.0.2,65969,1279,92396,1859,2.219,0,1
2025-12-25T18:31:47.341669Z,embb,ogstun,10.45.0.1,,,51520,920,0.293,0,1
2025-12-25T18:31:47.341669Z,urllc,uesimtun2,10.46.0.2,59222,1124,83416,1697,,1,1
2025-12-25T18:31:47.341669Z,mmtc,uesimtun1,10.47.0.2,66214,1284,92820,1867,2.141,0,1
2025-12-25T18:31:47.591420Z,embb,ogstun,10.45.0.1,,,51520,920,0.247,0,1
2025-12-25T18:31:47.591420Z,urllc,uesimtun2,10.46.0.2,59222,1124,83476,1698,1.391,0,1
2025-12-25T18:31:47.591420Z,mmtc,uesimtun1,10.47.0.2,66431,1288,93104,1873,1.368,0,1
2025-12-25T18:31:47.841580Z,embb,ogstun,10.45.0.1,,,51520,920,0.327,0,1
2025-12-25T18:31:47.841580Z,urllc,uesimtun2,10.46.0.2,59387,1127,83720,1703,2.175,0,1
2025-12-25T18:31:47.841580Z,mmtc,uesimtun1,10.47.0.2,66636,1292,93408,1879,2.269,0,1
2025-12-25T18:31:48.091556Z,embb,ogstun,10.45.0.1,,,51520,920,0.454,0,1
2025-12-25T18:31:48.091556Z,urllc,uesimtun2,10.46.0.2,59604,1131,84004,1709,2.697,0,1
2025-12-25T18:31:48.091556Z,mmtc,uesimtun1,10.47.0.2,66801,1295,93652,1884,1.230,0,1
2025-12-25T18:31:48.341570Z,embb,ogstun,10.45.0.1,,,51520,920,0.240,0,1
2025-12-25T18:31:48.341570Z,urllc,uesimtun2,10.46.0.2,59769,1134,84248,1714,,1,1
2025-12-25T18:31:48.341570Z,mmtc,uesimtun1,10.47.0.2,67058,1300,94056,1892,2.146,0,1
2025-12-25T18:31:48.591407Z,embb,ogstun,10.45.0.1,,,51520,920,0.319,0,1
2025-12-25T18:31:48.591407Z,urllc,uesimtun2,10.46.0.2,59809,1135,84368,1716,4.547,0,1
2025-12-25T18:31:48.591407Z,mmtc,uesimtun1,10.47.0.2,67275,1304,94340,1898,3.203,0,1
2025-12-25T18:31:48.841819Z,embb,ogstun,10.45.0.1,,,51520,920,0.292,0,1
2025-12-25T18:31:48.841819Z,urllc,uesimtun2,10.46.0.2,60066,1140,84712,1723,1.999,0,1
2025-12-25T18:31:48.841819Z,mmtc,uesimtun1,10.47.0.2,67492,1308,94624,1904,3.124,0,1
2025-12-25T18:31:49.091824Z,embb,ogstun,10.45.0.1,,,51520,920,0.228,0,1
2025-12-25T18:31:49.091824Z,urllc,uesimtun2,10.46.0.2,60231,1143,84956,1728,2.570,0,1
2025-12-25T18:31:49.091824Z,mmtc,uesimtun1,10.47.0.2,67749,1313,94968,1911,1.508,0,1
2025-12-25T18:31:49.341582Z,embb,ogstun,10.45.0.1,,,51520,920,0.625,0,1
2025-12-25T18:31:49.341582Z,urllc,uesimtun2,10.46.0.2,60448,1147,85240,1734,,1,1
2025-12-25T18:31:49.341582Z,mmtc,uesimtun1,10.47.0.2,67954,1317,95332,1918,1.948,0,1
2025-12-25T18:31:49.591592Z,embb,ogstun,10.45.0.1,,,51520,920,0.207,0,1
2025-12-25T18:31:49.591592Z,urllc,uesimtun2,10.46.0.2,60448,1147,85300,1735,2.431,0,1
2025-12-25T18:31:49.591592Z,mmtc,uesimtun1,10.47.0.2,68171,1321,95616,1924,1.448,0,1
2025-12-25T18:31:49.841580Z,embb,ogstun,10.45.0.1,,,51520,920,0.867,0,1
2025-12-25T18:31:49.841580Z,urllc,uesimtun2,10.46.0.2,60613,1150,85544,1740,1.189,0,1
2025-12-25T18:31:49.841580Z,mmtc,uesimtun1,10.47.0.2,68376,1325,95920,1930,2.213,0,1
2025-12-25T18:31:50.091563Z,embb,ogstun,10.45.0.1,,,51520,920,3.766,0,1
2025-12-25T18:31:50.091563Z,urllc,uesimtun2,10.46.0.2,60778,1153,85788,1745,2.439,0,1
2025-12-25T18:31:50.091563Z,mmtc,uesimtun1,10.47.0.2,68621,1330,96284,1937,2.120,0,1
2025-12-25T18:31:50.341578Z,embb,ogstun,10.45.0.1,,,51520,920,1.009,0,1
2025-12-25T18:31:50.341578Z,urllc,uesimtun2,10.46.0.2,60995,1157,86072,1751,,1,1
2025-12-25T18:31:50.341578Z,mmtc,uesimtun1,10.47.0.2,68826,1334,96588,1943,,1,1
2025-12-25T18:31:50.747702Z,embb,ogstun,10.45.0.1,,,51520,920,1.735,0,1
2025-12-25T18:31:50.747702Z,urllc,uesimtun2,10.46.0.2,60995,1157,86132,1752,5.730,0,1
2025-12-25T18:31:50.747702Z,mmtc,uesimtun1,10.47.0.2,68826,1334,96648,1944,4.928,0,1
2025-12-25T18:31:50.998643Z,embb,ogstun,10.45.0.1,,,51520,920,0.239,0,1
2025-12-25T18:31:50.998643Z,urllc,uesimtun2,10.46.0.2,61304,1163,86516,1760,3.335,0,1
2025-12-25T18:31:50.998643Z,mmtc,uesimtun1,10.47.0.2,69031,1338,96952,1950,1.930,0,1
