ts,slice,iface,ip,rx,rxp,tx,txp,rtt_ms,loss,exists
2025-12-09T08:44:28.291421Z,embb,uesimtun0,10.45.0.2,391845,8079,4187321414,3049713,1.344,0,1
2025-12-09T08:44:28.291421Z,urllc,uesimtun2,10.46.0.2,8577,213,13490,225,2.187,0,1
2025-12-09T08:44:28.291421Z,mmtc,uesimtun1,10.47.0.2,14440,361,1747072,29118,73.288,0,1
2025-12-09T08:44:28.541593Z,embb,uesimtun0,10.45.0.2,392905,8101,4190514948,3052054,2.269,0,1
2025-12-09T08:44:28.541593Z,urllc,uesimtun2,10.46.0.2,8914,220,13954,234,1.322,0,1
2025-12-09T08:44:28.541593Z,mmtc,uesimtun1,10.47.0.2,14697,366,1747416,29125,6.278,0,1
2025-12-09T08:44:28.791849Z,embb,uesimtun0,10.45.0.2,393756,8118,4193702712,3054387,2.332,0,1
2025-12-09T08:44:28.791849Z,urllc,uesimtun2,10.46.0.2,9079,223,14198,239,1.102,0,1
2025-12-09T08:44:28.791849Z,mmtc,uesimtun1,10.47.0.2,14914,370,1772900,29551,199.984,0,1
2025-12-09T08:44:29.041542Z,embb,uesimtun0,10.45.0.2,393973,8122,4196896692,3056714,1.340,0,1
2025-12-09T08:44:29.041542Z,urllc,uesimtun2,10.46.0.2,9296,227,14482,245,1.271,0,1
2025-12-09T08:44:29.041542Z,mmtc,uesimtun1,10.47.0.2,15131,374,1773184,29557,4.293,0,1
2025-12-09T08:44:29.291967Z,embb,uesimtun0,10.45.0.2,395041,8143,4200098417,3059060,1.662,0,1
2025-12-09T08:44:29.291967Z,urllc,uesimtun2,10.46.0.2,9513,231,14766,251,2.469,0,1
2025-12-09T08:44:29.291967Z,mmtc,uesimtun1,10.47.0.2,15348,378,1790268,29843,77.863,0,1
2025-12-09T08:44:29.541769Z,embb,uesimtun0,10.45.0.2,395543,8153,4203292703,3061392,1.799,0,1
2025-12-09T08:44:29.541769Z,urllc,uesimtun2,10.46.0.2,9730,235,15050,257,1.404,0,1
2025-12-09T08:44:29.541769Z,mmtc,uesimtun1,10.47.0.2,15565,382,1790552,29849,6.459,0,1
2025-12-09T08:44:29.792109Z,embb,uesimtun0,10.45.0.2,396354,8169,4206481790,3063725,1.720,0,1
2025-12-09T08:44:29.792109Z,urllc,uesimtun2,10.46.0.2,9947,239,15334,263,1.687,0,1
2025-12-09T08:44:29.792109Z,mmtc,uesimtun1,10.47.0.2,15902,389,1816216,30278,75.125,0,1
2025-12-09T08:44:30.041902Z,embb,uesimtun0,10.45.0.2,397089,8184,4209670838,3066057,1.464,0,1
2025-12-09T08:44:30.041902Z,urllc,uesimtun2,10.46.0.2,10164,243,15618,269,2.594,0,1
2025-12-09T08:44:30.041902Z,mmtc,uesimtun1,10.47.0.2,16171,394,1816540,30285,2.088,0,1
2025-12-09T08:44:30.291704Z,embb,uesimtun0,10.45.0.2,398201,8207,4212852028,3068390,1.091,0,1
2025-12-09T08:44:30.291704Z,urllc,uesimtun2,10.46.0.2,10329,246,15862,274,1.268,0,1
2025-12-09T08:44:30.291704Z,mmtc,uesimtun1,10.47.0.2,16508,401,1833804,30574,,1,1
2025-12-09T08:44:30.541517Z,embb,uesimtun0,10.45.0.2,398755,8218,4216053246,3070728,1.681,0,1
2025-12-09T08:44:30.541517Z,urllc,uesimtun2,10.46.0.2,10494,249,16106,279,1.774,0,1
2025-12-09T08:44:30.541517Z,mmtc,uesimtun1,10.47.0.2,16568,402,1833904,30576,4.220,0,1
2025-12-09T08:44:30.791696Z,embb,uesimtun0,10.45.0.2,399634,8236,4219235558,3073058,4.495,0,1
2025-12-09T08:44:30.791696Z,urllc,uesimtun2,10.46.0.2,10751,254,16450,286,1.465,0,1
2025-12-09T08:44:30.791696Z,mmtc,uesimtun1,10.47.0.2,16785,406,1859388,31002,,1,1
2025-12-09T08:44:31.041658Z,embb,uesimtun0,10.45.0.2,400409,8252,4222420530,3075388,1.254,0,1
2025-12-09T08:44:31.041658Z,urllc,uesimtun2,10.46.0.2,10968,258,16694,291,1.473,0,1
2025-12-09T08:44:31.041658Z,mmtc,uesimtun1,10.47.0.2,16845,407,1859488,31004,6.721,0,1
2025-12-09T08:44:31.291948Z,embb,uesimtun0,10.45.0.2,401778,8280,4225625366,3077742,1.490,0,1
2025-12-09T08:44:31.291948Z,urllc,uesimtun2,10.46.0.2,11133,261,16938,296,2.055,0,1
2025-12-09T08:44:31.291948Z,mmtc,uesimtun1,10.47.0.2,17062,411,1876572,31290,86.914,0,1
2025-12-09T08:44:31.541473Z,embb,uesimtun0,10.45.0.2,402228,8289,4228807228,3080064,1.198,0,1
2025-12-09T08:44:31.541473Z,urllc,uesimtun2,10.46.0.2,11298,264,17182,301,1.267,0,1
2025-12-09T08:44:31.541473Z,mmtc,uesimtun1,10.47.0.2,17319,416,1876916,31297,3.703,0,1
2025-12-09T08:44:31.791734Z,embb,uesimtun0,10.45.0.2,403015,8305,4232005960,3082404,1.703,0,1
2025-12-09T08:44:31.791734Z,urllc,uesimtun2,10.46.0.2,11463,267,17426,306,1.870,0,1
2025-12-09T08:44:31.791734Z,mmtc,uesimtun1,10.47.0.2,17576,421,1902460,31724,,1,1
2025-12-09T08:44:32.041893Z,embb,uesimtun0,10.45.0.2,403666,8317,4235161814,3084709,2.997,0,1
2025-12-09T08:44:32.041893Z,urllc,uesimtun2,10.46.0.2,11628,270,17670,311,1.398,0,1
2025-12-09T08:44:32.041893Z,mmtc,uesimtun1,10.47.0.2,17636,422,1902560,31726,2.862,0,1
2025-12-09T08:44:32.291722Z,embb,uesimtun0,10.45.0.2,405480,8355,4238383676,3087084,1.691,0,1
2025-12-09T08:44:32.291722Z,urllc,uesimtun2,10.46.0.2,11793,273,17914,316,2.068,0,1
2025-12-09T08:44:32.291722Z,mmtc,uesimtun1,10.47.0.2,17893,427,1919704,32013,92.076,0,1
2025-12-09T08:44:32.541997Z,embb,uesimtun0,10.45.0.2,405902,8363,4241580681,3089417,1.478,0,1
