ts,slice,iface,ip,rx,rxp,tx,txp,rtt_ms,loss,exists
2025-12-12T09:47:17.823698Z,embb,uesimtun0,10.45.0.2,29864.0,607.0,278138976.0,202646.0,3.6,0.0,1.0
2025-12-12T09:47:17.823698Z,urllc,uesimtun1,10.46.0.2,805.0,19.0,1478.0,24.0,1.214,0.0,1.0
2025-12-12T09:47:17.823698Z,mmtc,uesimtun2,10.47.0.2,800.0,20.0,164900.0,601.0,3.441,0.0,1.0
2025-12-12T09:47:18.074358Z,embb,uesimtun0,10.45.0.2,31233.0,635.0,284587055.0,207357.0,1.161,0.0,1.0
2025-12-12T09:47:18.074358Z,urllc,uesimtun1,10.46.0.2,970.0,22.0,1722.0,29.0,1.995,0.0,1.0
2025-12-12T09:47:18.074358Z,mmtc,uesimtun2,10.47.0.2,1017.0,24.0,165184.0,607.0,1.948,0.0,1.0
2025-12-12T09:47:18.324156Z,embb,uesimtun0,10.45.0.2,32044.0,651.0,290962958.0,212006.0,1.983,0.0,1.0
2025-12-12T09:47:18.324156Z,urllc,uesimtun1,10.46.0.2,1187.0,26.0,2006.0,35.0,1.391,0.0,1.0
2025-12-12T09:47:18.324156Z,mmtc,uesimtun2,10.47.0.2,1234.0,28.0,264868.0,963.0,3.163,0.0,1.0
2025-12-12T09:47:18.573974Z,embb,uesimtun0,10.45.0.2,32261.0,655.0,297341002.0,216647.0,1.781,0.0,1.0
2025-12-12T09:47:18.573974Z,urllc,uesimtun1,10.46.0.2,1432.0,31.0,2370.0,42.0,1.752,0.0,1.0
2025-12-12T09:47:18.573974Z,mmtc,uesimtun2,10.47.0.2,1399.0,31.0,265112.0,968.0,1.776,0.0,1.0
2025-12-12T09:47:18.824270Z,embb,uesimtun0,10.45.0.2,32426.0,658.0,303727262.0,221293.0,1.731,0.0,1.0
2025-12-12T09:47:18.824270Z,urllc,uesimtun1,10.46.0.2,1597.0,34.0,2614.0,47.0,1.889,0.0,1.0
2025-12-12T09:47:18.824270Z,mmtc,uesimtun2,10.47.0.2,1564.0,34.0,414456.0,1498.0,4.683,0.0,1.0
2025-12-12T09:47:19.074084Z,embb,uesimtun0,10.45.0.2,34200.0,695.0,310102936.0,225960.0,1.28,0.0,1.0
2025-12-12T09:47:19.074084Z,urllc,uesimtun1,10.46.0.2,1814.0,38.0,2898.0,53.0,2.115,0.0,1.0
2025-12-12T09:47:19.074084Z,mmtc,uesimtun2,10.47.0.2,1821.0,39.0,414800.0,1505.0,1.29,0.0,1.0
2025-12-12T09:47:19.324408Z,embb,uesimtun0,10.45.0.2,34682.0,704.0,316491074.0,230615.0,1.955,0.0,1.0
2025-12-12T09:47:19.324408Z,urllc,uesimtun1,10.46.0.2,2031.0,42.0,3230.0,60.0,1.507,0.0,1.0
2025-12-12T09:47:19.324408Z,mmtc,uesimtun2,10.47.0.2,2066.0,44.0,585564.0,2112.0,5.82,0.0,1.0
2025-12-12T09:47:19.574205Z,embb,uesimtun0,10.45.0.2,35124.0,713.0,322866572.0,235257.0,2.177,0.0,1.0
2025-12-12T09:47:19.574205Z,urllc,uesimtun1,10.46.0.2,2248.0,46.0,3514.0,66.0,1.923,0.0,1.0
2025-12-12T09:47:19.574205Z,mmtc,uesimtun2,10.47.0.2,2283.0,48.0,585848.0,2118.0,1.116,0.0,1.0
2025-12-12T09:47:19.823807Z,embb,uesimtun0,10.45.0.2,35289.0,716.0,329217056.0,239877.0,1.343,0.0,1.0
2025-12-12T09:47:19.823807Z,urllc,uesimtun1,10.46.0.2,2465.0,50.0,3798.0,72.0,1.74,0.0,1.0
2025-12-12T09:47:19.823807Z,mmtc,uesimtun2,10.47.0.2,2448.0,51.0,813340.0,2924.0,4.223,0.0,1.0
2025-12-12T09:47:20.073830Z,embb,uesimtun0,10.45.0.2,37705.0,766.0,335622366.0,244577.0,2.053,0.0,1.0
2025-12-12T09:47:20.073830Z,urllc,uesimtun1,10.46.0.2,2630.0,53.0,4042.0,77.0,2.442,0.0,1.0
2025-12-12T09:47:20.073830Z,mmtc,uesimtun2,10.47.0.2,2665.0,55.0,813624.0,2930.0,1.649,0.0,1.0
2025-12-12T09:47:20.324131Z,embb,uesimtun0,10.45.0.2,38809.0,789.0,342005448.0,249236.0,1.956,0.0,1.0
2025-12-12T09:47:20.324131Z,urllc,uesimtun1,10.46.0.2,2795.0,56.0,4286.0,82.0,1.707,0.0,1.0
2025-12-12T09:47:20.324131Z,mmtc,uesimtun2,10.47.0.2,2962.0,61.0,1069628.0,3838.0,4.041,0.0,1.0
2025-12-12T09:47:20.573836Z,embb,uesimtun0,10.45.0.2,39026.0,793.0,348371108.0,253868.0,1.199,0.0,1.0
2025-12-12T09:47:20.573836Z,urllc,uesimtun1,10.46.0.2,3000.0,60.0,4590.0,88.0,0.96,0.0,1.0
2025-12-12T09:47:20.573836Z,mmtc,uesimtun2,10.47.0.2,3179.0,65.0,1069912.0,3844.0,2.275,0.0,1.0
2025-12-12T09:47:20.824296Z,embb,uesimtun0,10.45.0.2,39191.0,796.0,354771128.0,258524.0,1.889,0.0,1.0
2025-12-12T09:47:20.824296Z,urllc,uesimtun1,10.46.0.2,3205.0,64.0,4894.0,94.0,1.524,0.0,1.0
2025-12-12T09:47:20.824296Z,mmtc,uesimtun2,10.47.0.2,3424.0,70.0,1389776.0,4976.0,4.835,0.0,1.0
2025-12-12T09:47:21.074154Z,embb,uesimtun0,10.45.0.2,41054.0,833.0,361148350.0,263194.0,1.5,0.0,1.0
2025-12-12T09:47:21.074154Z,urllc,uesimtun1,10.46.0.2,3422.0,68.0,5178.0,100.0,1.997,0.0,1.0
2025-12-12T09:47:21.074154Z,mmtc,uesimtun2,10.47.0.2,3641.0,74.0,1390060.0,4982.0,1.633,0.0,1.0
2025-12-12T09:47:21.324241Z,embb,uesimtun0,10.45.0.2,42455.0,862.0,367533114.0,267859.0,2.635,0.0,1.0
2025-12-12T09:47:21.324241Z,urllc,uesimtun1,10.46.0.2,3639.0,72.0,5462.0,106.0,4.68,0.0,1.0
2025-12-12T09:47:21.324241Z,mmtc,uesimtun2,10.47.0.2,3858.0,78.0,1633732.0,5845.0,6.937,0.0,1.0
2025-12-12T09:47:21.574719Z,embb,uesimtun0,10.45.0.2,42672.0,866.0,373935926.0,272518.0,2.64,0.0,1.0
2025-12-12T09:47:21.574719Z,urllc,uesimtun1,10.46.0.2,3924.0,78.0,5886.0,114.0,1.944,0.0,1.0
2025-12-12T09:47:21.574719Z,mmtc,uesimtun2,10.47.0.2,4075.0,82.0,1634016.0,5851.0,1.178,0.0,1.0
2025-12-12T09:47:21.823984Z,embb,uesimtun0,10.45.0.2,42837.0,869.0,380287786.0,277139.0,1.814,0.0,1.0
2025-12-12T09:47:21.823984Z,urllc,uesimtun1,10.46.0.2,4141.0,82.0,6170.0,120.0,3.269,0.0,1.0
2025-12-12T09:47:21.823984Z,mmtc,uesimtun2,10.47.0.2,4240.0,85.0,1953760.0,6981.0,5.919,0.0,1.0
2025-12-12T09:47:22.073788Z,embb,uesimtun0,10.45.0.2,44439.0,902.0,386674251.0,281810.0,2.748,0.0,1.0
2025-12-12T09:47:22.073788Z,urllc,uesimtun1,10.46.0.2,4306.0,85.0,6414.0,125.0,1.9,0.0,1.0
2025-12-12T09:47:22.073788Z,mmtc,uesimtun2,10.47.0.2,4457.0,89.0,1954044.0,6987.0,1.726,0.0,1.0
2025-12-12T09:47:22.324124Z,embb,uesimtun0,10.45.0.2,45403.0,921.0,393053067.0,286463.0,,1.0,1.0
2025-12-12T09:47:22.324124Z,urllc,uesimtun1,10.46.0.2,4471.0,88.0,6658.0,130.0,2.159,0.0,1.0
2025-12-12T09:47:22.324124Z,mmtc,uesimtun2,10.47.0.2,4702.0,94.0,2309408.0,8244.0,2.0,0.0,1.0
2025-12-12T09:47:22.573910Z,embb,uesimtun0,10.45.0.2,45740.0,928.0,399443629.0,291114.0,2.748,0.0,1.0
2025-12-12T09:47:22.573910Z,urllc,uesimtun1,10.46.0.2,4688.0,92.0,6942.0,136.0,1.197,0.0,1.0
2025-12-12T09:47:22.573910Z,mmtc,uesimtun2,10.47.0.2,4867.0,97.0,2309652.0,8249.0,1.749,0.0,1.0
2025-12-12T09:47:22.824217Z,embb,uesimtun0,10.45.0.2,45905.0,931.0,405814753.0,295749.0,3.328,0.0,1.0
2025-12-12T09:47:22.824217Z,urllc,uesimtun1,10.46.0.2,4905.0,96.0,7226.0,142.0,1.182,0.0,1.0
2025-12-12T09:47:22.824217Z,mmtc,uesimtun2,10.47.0.2,5124.0,102.0,2629456.0,9380.0,13.414,0.0,1.0
2025-12-12T09:47:23.074040Z,embb,uesimtun0,10.45.0.2,47804.0,970.0,412168447.0,300400.0,1.351,0.0,1.0
2025-12-12T09:47:23.074040Z,urllc,uesimtun1,10.46.0.2,5122.0,100.0,7510.0,148.0,1.281,0.0,1.0
2025-12-12T09:47:23.074040Z,mmtc,uesimtun2,10.47.0.2,5341.0,106.0,2629740.0,9386.0,1.553,0.0,1.0
2025-12-12T09:47:23.323829Z,embb,uesimtun0,10.45.0.2,48780.0,989.0,418555519.0,305059.0,1.416,0.0,1.0
2025-12-12T09:47:23.323829Z,urllc,uesimtun1,10.46.0.2,5287.0,103.0,7754.0,153.0,1.35,0.0,1.0
2025-12-12T09:47:23.323829Z,mmtc,uesimtun2,10.47.0.2,5586.0,111.0,2985104.0,10643.0,5.284,0.0,1.0
2025-12-12T09:47:23.574163Z,embb,uesimtun0,10.45.0.2,49230.0,998.0,424959973.0,309723.0,1.509,0.0,1.0
2025-12-12T09:47:23.574163Z,urllc,uesimtun1,10.46.0.2,5492.0,107.0,8058.0,159.0,1.316,0.0,1.0
2025-12-12T09:47:23.574163Z,mmtc,uesimtun2,10.47.0.2,5843.0,116.0,2985448.0,10650.0,2.051,0.0,1.0
2025-12-12T09:47:23.823981Z,embb,uesimtun0,10.45.0.2,49395.0,1001.0,431337977.0,314363.0,2.34,0.0,1.0
2025-12-12T09:47:23.823981Z,urllc,uesimtun1,10.46.0.2,5749.0,112.0,8402.0,166.0,2.188,0.0,1.0
2025-12-12T09:47:23.823981Z,mmtc,uesimtun2,10.47.0.2,6008.0,119.0,3305192.0,11780.0,13.733,0.0,1.0
2025-12-12T09:47:24.074322Z,embb,uesimtun0,10.45.0.2,51563.0,1045.0,437723625.0,319042.0,1.488,0.0,1.0
2025-12-12T09:47:24.074322Z,urllc,uesimtun1,10.46.0.2,5966.0,116.0,8686.0,172.0,1.842,0.0,1.0
2025-12-12T09:47:24.074322Z,mmtc,uesimtun2,10.47.0.2,6225.0,123.0,3305476.0,11786.0,1.517,0.0,1.0
2025-12-12T09:47:24.324076Z,embb,uesimtun0,10.45.0.2,52715.0,1069.0,444073807.0,323679.0,1.19,0.0,1.0
2025-12-12T09:47:24.324076Z,urllc,uesimtun1,10.46.0.2,6131.0,119.0,8930.0,177.0,1.678,0.0,1.0
2025-12-12T09:47:24.324076Z,mmtc,uesimtun2,10.47.0.2,6430.0,127.0,3631244.0,12938.0,3.634,0.0,1.0
2025-12-12T09:47:24.574453Z,embb,uesimtun0,10.45.0.2,53165.0,1078.0,450498901.0,328358.0,2.751,0.0,1.0
2025-12-12T09:47:24.574453Z,urllc,uesimtun1,10.46.0.2,6296.0,122.0,9174.0,182.0,1.981,0.0,1.0
2025-12-12T09:47:24.574453Z,mmtc,uesimtun2,10.47.0.2,6647.0,131.0,3631528.0,12944.0,1.715,0.0,1.0
2025-12-12T09:47:24.823826Z,embb,uesimtun0,10.45.0.2,53330.0,1081.0,456835625.0,332968.0,1.416,0.0,1.0
2025-12-12T09:47:24.823826Z,urllc,uesimtun1,10.46.0.2,6501.0,126.0,9478.0,188.0,4.951,0.0,1.0
2025-12-12T09:47:24.823826Z,mmtc,uesimtun2,10.47.0.2,6852.0,135.0,3951332.0,14075.0,6.452,0.0,1.0
2025-12-12T09:47:25.076161Z,embb,uesimtun0,10.45.0.2,55566.0,1127.0,463292878.0,337700.0,1.141,0.0,1.0
2025-12-12T09:47:25.076161Z,urllc,uesimtun1,10.46.0.2,6718.0,130.0,9762.0,194.0,1.314,0.0,1.0
2025-12-12T09:47:25.076161Z,mmtc,uesimtun2,10.47.0.2,7069.0,139.0,3951616.0,14081.0,1.325,0.0,1.0
2025-12-12T09:47:25.323829Z,embb,uesimtun0,10.45.0.2,56558.0,1147.0,469611309.0,342312.0,2.305,0.0,1.0
2025-12-12T09:47:25.323829Z,urllc,uesimtun1,10.46.0.2,6935.0,134.0,10046.0,200.0,1.409,0.0,1.0
2025-12-12T09:47:25.323829Z,mmtc,uesimtun2,10.47.0.2,7326.0,144.0,4253000.0,15148.0,1.162,0.0,1.0
2025-12-12T09:47:25.573860Z,embb,uesimtun0,10.45.0.2,57112.0,1158.0,476007587.0,346972.0,2.868,0.0,1.0
2025-12-12T09:47:25.573860Z,urllc,uesimtun1,10.46.0.2,7152.0,138.0,10330.0,206.0,1.557,0.0,1.0
2025-12-12T09:47:25.573860Z,mmtc,uesimtun2,10.47.0.2,7543.0,148.0,4253284.0,15154.0,1.995,0.0,1.0
2025-12-12T09:47:25.823845Z,embb,uesimtun0,10.45.0.2,57329.0,1162.0,482367743.0,351600.0,1.287,0.0,1.0
2025-12-12T09:47:25.823845Z,urllc,uesimtun1,10.46.0.2,7317.0,141.0,10574.0,211.0,1.103,0.0,1.0
2025-12-12T09:47:25.823845Z,mmtc,uesimtun2,10.47.0.2,7708.0,151.0,4573028.0,16284.0,3.642,0.0,1.0
2025-12-12T09:47:26.074515Z,embb,uesimtun0,10.45.0.2,58433.0,1184.0,488766129.0,356272.0,1.243,0.0,1.0
2025-12-12T09:47:26.074515Z,urllc,uesimtun1,10.46.0.2,7534.0,145.0,10858.0,217.0,1.889,0.0,1.0
2025-12-12T09:47:26.074515Z,mmtc,uesimtun2,10.47.0.2,7925.0,155.0,4573312.0,16290.0,2.12,0.0,1.0
2025-12-12T09:47:26.323804Z,embb,uesimtun0,10.45.0.2,59726.0,1210.0,495098553.0,360898.0,,1.0,1.0
2025-12-12T09:47:26.323804Z,urllc,uesimtun1,10.46.0.2,7831.0,151.0,11262.0,225.0,1.871,0.0,1.0
