ts,embb_rate,urllc_rate,mmtc_rate,action,reason,embb_bps,urllc_bps,mmtc_bps,embb_rtt_ms,urllc_rtt_ms,mmtc_rtt_ms
2025-12-10T19:18:14.759918Z,50mbit,10mbit,500kbit,none,,0,0,0,0.3044605255126953,0.1685619354248047,0.16260147094726562
2025-12-10T19:18:15.260448Z,50mbit,10mbit,500kbit,none,,8864,8864,8864,0.26226043701171875,0.15497207641601562,0.15866756439208984
2025-12-10T19:18:15.760645Z,50mbit,10mbit,500kbit,none,,37632,37632,37632,0.2587636311848958,0.16872088114420572,0.1777807871500651
2025-12-10T19:18:16.260298Z,50mbit,10mbit,500kbit,none,,8864,8864,8864,0.25343894958496094,0.1678466796875,0.17714500427246094
2025-12-10T19:18:16.760893Z,50mbit,10mbit,500kbit,none,,33264,33264,33264,0.2556324005126953,0.1754283905029297,0.17032623291015625
2025-12-10T19:18:17.260769Z,50mbit,10mbit,500kbit,none,,8224,8224,8224,0.2532958984375,0.17070770263671875,0.16946792602539062
2025-12-10T19:18:17.760501Z,50mbit,10mbit,500kbit,none,,28768,28768,28768,0.2685546875,0.17266273498535156,0.1656055450439453
2025-12-10T19:18:18.260789Z,50mbit,10mbit,500kbit,none,,10144,10144,10144,0.2727508544921875,0.16851425170898438,0.1514911651611328
2025-12-10T19:18:18.760758Z,50mbit,10mbit,500kbit,none,,34176,34176,34176,0.26946067810058594,0.165557861328125,0.14600753784179688
2025-12-10T19:18:19.260951Z,50mbit,10mbit,500kbit,none,,6032,6032,6032,0.26383399963378906,0.15692710876464844,0.16489028930664062
2025-12-10T19:18:19.760381Z,50mbit,10mbit,500kbit,none,,28512,28512,28512,0.25353431701660156,0.16074180603027344,0.1701831817626953
2025-12-10T19:18:20.260744Z,50mbit,10mbit,500kbit,none,,4752,4752,4752,0.2452850341796875,0.16841888427734375,0.18339157104492188
2025-12-10T19:18:20.761152Z,50mbit,10mbit,500kbit,none,,25952,25952,25952,0.24251937866210938,0.17414093017578125,0.180816650390625
2025-12-10T19:18:21.260724Z,50mbit,10mbit,500kbit,none,,12064,12064,12064,0.2453327178955078,0.1754283905029297,0.1842498779296875
2025-12-10T19:18:21.760671Z,50mbit,10mbit,500kbit,none,,47968,47968,47968,0.24194717407226562,0.16646385192871094,0.16298294067382812
2025-12-10T19:18:22.260007Z,50mbit,10mbit,500kbit,none,,9504,9504,9504,0.2377033233642578,0.16412734985351562,0.1681804656982422
2025-12-10T19:18:22.760510Z,50mbit,10mbit,500kbit,none,,51248,51248,51248,0.24170875549316406,0.1506328582763672,0.15435218811035156
2025-12-10T19:18:23.260714Z,50mbit,10mbit,500kbit,none,,10784,10784,10784,0.23469924926757812,0.1491069793701172,0.16088485717773438
2025-12-10T19:18:23.760022Z,50mbit,10mbit,500kbit,none,,43936,43936,43936,0.3040790557861328,0.1525402069091797,0.1613140106201172
2025-12-10T19:18:24.260190Z,50mbit,10mbit,500kbit,none,,4752,4752,4752,0.31795501708984375,0.16264915466308594,0.16889572143554688
2025-12-10T19:18:24.760591Z,50mbit,10mbit,500kbit,none,,36736,36736,36736,0.34232139587402344,0.167083740234375,0.16427040100097656
2025-12-10T19:18:25.260717Z,50mbit,10mbit,500kbit,none,,4752,4752,4752,0.3453254699707031,0.1739025115966797,0.165557861328125
2025-12-10T19:18:25.760881Z,50mbit,10mbit,500kbit,none,,42128,42128,42128,0.3520488739013672,0.17061233520507812,0.1617431640625
2025-12-10T19:18:26.260558Z,50mbit,10mbit,500kbit,none,,4560,4560,4560,0.31418800354003906,0.17027854919433594,0.15020370483398438
2025-12-10T19:18:26.762109Z,50mbit,10mbit,500kbit,none,,31344,31344,31344,0.3138542175292969,0.16798973083496094,0.14548301696777344
2025-12-10T19:18:28.634209Z,50mbit,10mbit,500kbit,none,,640,1280,1280,11.897516250610352,0.17518997192382812,0.1518726348876953
2025-12-10T19:18:28.719791Z,50mbit,10mbit,500kbit,none,,25040,28832,35872,11.897516250610352,0.26907920837402344,0.17633438110351562
2025-12-10T19:18:29.220661Z,50mbit,10mbit,500kbit,none,,18144,13712,6672,11.903715133666992,0.2781867980957031,0.17309188842773438
2025-12-10T19:18:29.720851Z,50mbit,10mbit,500kbit,none,,13952,13952,13952,12.304115295410156,0.27294158935546875,0.17724037170410156
2025-12-10T19:18:30.220465Z,50mbit,10mbit,500kbit,none,,46464,46464,46464,12.292718887329102,0.273895263671875,0.17647743225097656
2025-12-10T19:18:30.720807Z,50mbit,10mbit,500kbit,none,,26176,26176,26176,0.6978988647460938,0.9376049041748047,0.1636505126953125
2025-12-10T19:18:31.220308Z,50mbit,10mbit,500kbit,none,,51936,51936,51936,0.6953716278076172,0.8541584014892578,0.14019012451171875
2025-12-10T19:18:31.720878Z,50mbit,10mbit,500kbit,none,,27008,27008,27008,60.58025360107422,0.8500576019287109,0.14901161193847656
2025-12-10T19:18:32.220378Z,50mbit,10mbit,500kbit,none,,69584,69584,69584,60.15067100524902,0.8598804473876953,0.15468597412109375
2025-12-10T19:18:32.720670Z,50mbit,10mbit,500kbit,none,,27008,27648,27648,60.14680862426758,0.8778095245361328,0.1567363739013672
2025-12-10T19:18:33.220619Z,50mbit,10mbit,500kbit,none,,62784,62144,62144,60.14456748962402,0.203704833984375,0.15044212341308594
2025-12-10T19:18:33.720383Z,50mbit,10mbit,500kbit,none,,26816,26816,26816,68.29557418823242,0.2048492431640625,0.1541614532470703
2025-12-10T19:18:34.220515Z,50mbit,10mbit,500kbit,none,,66512,66512,66512,8.398056030273438,0.19288063049316406,0.14410018920898438
2025-12-10T19:18:34.723671Z,50mbit,10mbit,500kbit,none,,26240,26240,26240,8.409690856933594,0.232696533203125,0.14772415161132812
2025-12-10T19:18:35.220153Z,50mbit,10mbit,500kbit,none,,49360,49360,49360,8.410978317260742,0.2106189727783203,0.1445293426513672
2025-12-10T19:18:35.719978Z,50mbit,10mbit,500kbit,none,,22704,22704,22704,8.412981033325195,0.21963119506835938,0.15153884887695312
2025-12-10T19:18:36.220230Z,50mbit,10mbit,500kbit,none,,47632,47632,47632,0.2674579620361328,0.212860107421875,0.14858245849609375
2025-12-10T19:18:36.720741Z,50mbit,10mbit,500kbit,none,,23984,23984,23984,0.2749919891357422,0.2335071563720703,0.14977455139160156
2025-12-10T19:18:37.220182Z,50mbit,10mbit,500kbit,none,,48016,48016,48016,0.26569366455078125,0.18987655639648438,0.15411376953125
2025-12-10T19:18:37.723081Z,50mbit,10mbit,500kbit,none,,16480,16480,16480,0.29735565185546875,0.1964569091796875,0.156402587890625
2025-12-10T19:18:38.220540Z,50mbit,10mbit,500kbit,none,,48912,48912,48912,0.29463768005371094,0.1880645751953125,0.15802383422851562
2025-12-10T19:18:38.720103Z,50mbit,10mbit,500kbit,none,,22704,22704,22704,0.29296875,0.18215179443359375,0.15702247619628906
2025-12-10T19:18:39.220400Z,50mbit,10mbit,500kbit,none,,56496,56496,56496,0.2956390380859375,0.1663684844970703,0.18286705017089844
