ts,embb_rate,urllc_rate,mmtc_rate,action,reason,embb_bps,urllc_bps,mmtc_bps,embb_rtt_ms,urllc_rtt_ms,mmtc_rtt_ms
2025-12-11T19:17:28.964755Z,50mbit,10mbit,500kbit,none,,0,0,0,0.35071372985839844,0.21696090698242188,0.1850128173828125
2025-12-11T19:17:29.465802Z,50mbit,10mbit,500kbit,none,,0,0,0,97.64993190765381,0.22876262664794922,0.17440319061279297
2025-12-11T19:17:29.965251Z,50mbit,10mbit,500kbit,none,,0,0,0,65.1858647664388,0.20003318786621094,0.1885096232096354
2025-12-11T19:17:30.465128Z,50mbit,10mbit,500kbit,none,,0,0,0,92.92441606521606,0.18769502639770508,0.19818544387817383
2025-12-11T19:17:30.965805Z,50mbit,10mbit,800kbit,bump_mmtc,mmtc loss,0,0,0,74.3964672088623,0.1922130584716797,0.19818544387817383
2025-12-11T19:17:31.465558Z,50mbit,10mbit,800kbit,none,,0,0,0,155.38249015808105,0.18520355224609375,0.1849651336669922
2025-12-11T19:17:31.964929Z,50mbit,10mbit,800kbit,none,,0,0,0,116.45126342773438,0.16694068908691406,0.17518997192382812
2025-12-11T19:17:32.465040Z,50mbit,10mbit,800kbit,none,,0,0,0,194.64521408081055,0.18105506896972656,0.17518997192382812
2025-12-11T19:17:32.965230Z,50mbit,10mbit,800kbit,none,,0,0,0,159.470796585083,0.17938613891601562,0.17108917236328125
2025-12-11T19:17:33.465770Z,50mbit,10mbit,800kbit,none,,0,0,0,274.2170810699463,0.2689361572265625,0.17108917236328125
2025-12-11T19:17:34.044855Z,50mbit,10mbit,800kbit,none,,0,0,0,193.218994140625,0.2689361572265625,0.1601696014404297
2025-12-11T19:17:34.545631Z,50mbit,10mbit,800kbit,none,,0,0,0,249.3359088897705,0.2787590026855469,0.15921592712402344
2025-12-11T19:17:35.045767Z,50mbit,10mbit,800kbit,none,,0,0,0,171.15836143493652,0.2871513366699219,0.17528533935546875
2025-12-11T19:17:35.807732Z,50mbit,10mbit,800kbit,none,,0,0,0,171.16341590881348,0.293731689453125,0.18157958984375
2025-12-11T19:17:36.045188Z,50mbit,10mbit,800kbit,none,,0,0,0,56.418800354003906,0.293731689453125,0.1842498779296875
2025-12-11T19:17:36.545628Z,50mbit,10mbit,800kbit,none,,0,0,0,130.53665161132812,0.293731689453125,0.20089149475097656
2025-12-11T19:17:37.045351Z,50mbit,10mbit,800kbit,none,,0,0,0,74.42326545715332,0.293731689453125,0.18820762634277344
2025-12-11T19:17:37.545217Z,25mbit,10mbit,800kbit,set_embb_25mbit,urllc_rtt=0.306,0,0,0,142.62804985046387,0.3062248229980469,0.191497802734375
2025-12-11T19:17:38.045509Z,25mbit,10mbit,800kbit,none,,0,0,0,142.63005256652832,0.3062248229980469,0.18978118896484375
2025-12-11T19:17:38.546260Z,25mbit,10mbit,800kbit,none,,0,0,0,206.51955604553223,0.3062248229980469,0.19621849060058594
2025-12-11T19:17:39.045593Z,25mbit,10mbit,800kbit,none,,0,0,0,132.3923110961914,0.3062248229980469,0.1789569854736328
2025-12-11T19:17:39.545582Z,25mbit,10mbit,800kbit,none,,0,0,0,245.42522430419922,0.3098011016845703,0.8215427398681641
2025-12-11T19:17:40.118204Z,25mbit,10mbit,800kbit,none,,0,0,0,177.20022201538086,0.3070831298828125,0.8098602294921875
2025-12-11T19:17:41.083208Z,25mbit,10mbit,800kbit,none,,0,0,0,177.19478607177734,0.2936363220214844,0.8098602294921875
2025-12-11T19:17:41.118809Z,25mbit,10mbit,800kbit,none,,0,0,0,113.31086158752441,0.2757549285888672,0.8074760437011719
