ts,embb_rate,urllc_rate,mmtc_rate,action,reason,embb_bps,urllc_bps,mmtc_bps,embb_rtt_ms,urllc_rtt_ms,mmtc_rtt_ms
2025-12-11T19:30:55.950696Z,50mbit,10mbit,500kbit,none,,0,0,0,0.3819465637207031,0.18525123596191406,0.1990795135498047
2025-12-11T19:30:56.451833Z,50mbit,10mbit,500kbit,none,,0,0,0,0.3553628921508789,0.1671314239501953,0.18846988677978516
2025-12-11T19:30:56.951385Z,50mbit,10mbit,800kbit,bump_mmtc,mmtc loss,0,0,0,40.474494298299156,0.2036889394124349,0.18846988677978516
2025-12-11T19:30:57.451605Z,50mbit,10mbit,800kbit,none,,0,0,0,30.440211296081543,0.1952052116394043,0.17102559407552084
2025-12-11T19:30:57.951373Z,50mbit,10mbit,800kbit,none,,0,0,0,24.41534996032715,0.18105506896972656,0.17102559407552084
2025-12-11T19:30:58.451488Z,50mbit,10mbit,800kbit,none,,0,0,0,24.401044845581055,0.17709732055664062,0.1798868179321289
2025-12-11T19:30:58.951280Z,50mbit,10mbit,800kbit,none,,0,0,0,24.400854110717773,0.17709732055664062,0.1865863800048828
2025-12-11T19:30:59.451531Z,50mbit,10mbit,800kbit,none,,0,0,0,0.32749176025390625,0.17256736755371094,0.1865863800048828
2025-12-11T19:30:59.951422Z,50mbit,10mbit,800kbit,none,,0,0,0,0.31943321228027344,0.14276504516601562,0.18024444580078125
2025-12-11T19:31:00.451423Z,50mbit,10mbit,800kbit,none,,896,896,896,0.33931732177734375,0.2117156982421875,0.18768310546875
2025-12-11T19:31:00.951729Z,50mbit,10mbit,800kbit,none,,0,0,0,0.36635398864746094,0.2117156982421875,0.19087791442871094
2025-12-11T19:31:01.451399Z,50mbit,10mbit,800kbit,none,,0,0,0,0.3722667694091797,0.21338462829589844,0.1895427703857422
2025-12-11T19:31:05.129411Z,50mbit,10mbit,800kbit,none,,0,0,0,19.13752555847168,0.2888202667236328,0.1895427703857422
2025-12-11T19:31:05.228631Z,25mbit,10mbit,800kbit,set_embb_25mbit,urllc_rtt=0.329,0,0,0,19.69928741455078,0.32901763916015625,0.18796920776367188
2025-12-11T19:31:05.729493Z,25mbit,10mbit,800kbit,none,,0,0,0,19.67487335205078,0.3304481506347656,0.19207000732421875
2025-12-11T19:31:06.230008Z,25mbit,10mbit,800kbit,none,,0,0,0,19.65770721435547,0.26259422302246094,0.1918315887451172
2025-12-11T19:31:06.729296Z,25mbit,10mbit,800kbit,none,,0,0,0,19.64731216430664,0.2803325653076172,0.19073486328125
2025-12-11T19:31:07.229771Z,50mbit,10mbit,800kbit,restore_embb_50mbit,urllc stable,0,0,0,0.87432861328125,0.20699501037597656,0.19159317016601562
2025-12-11T19:31:07.729297Z,50mbit,10mbit,800kbit,none,,0,0,0,0.33316612243652344,0.17142295837402344,0.18029212951660156
