ts,embb_ue_count,embb_bps,embb_rtt,embb_rate,embb_action,urllc_ue_count,urllc_bps,urllc_max_rtt,urllc_rate,urllc_action,mmtc_ue_count,mmtc_bps,mmtc_rtt,mmtc_rate,mmtc_action
2026-01-19T17:14:35.152412Z,1,0,51.215,50mbit,none,1,0,0.210,10mbit,none,1,0,0.180,500kbit,none
2026-01-19T17:14:37.154911Z,1,7940,33.533,50mbit,none,1,7740,0.224,10mbit,none,1,7620,,800kbit,self_bump
2026-01-19T17:14:39.154887Z,1,10398,58.716,50mbit,none,1,9996,,10mbit,none,1,10060,0.161,500kbit,restore
2026-01-19T17:14:41.154378Z,1,15548,58.847,50mbit,none,1,15009,0.220,10mbit,none,1,15081,,800kbit,self_bump
2026-01-19T17:14:43.154230Z,1,15604,,50mbit,none,1,15037,,10mbit,none,1,15153,14611.035,800kbit,none
2026-01-19T17:14:58.170361Z,1,10658,0.787,50mbit,none,1,10361,0.541,10mbit,urllc_warn,1,10333,0.376,500kbit,restore
2026-01-19T17:15:00.172582Z,1,5509,107.248,50mbit,none,1,5348,0.801,10mbit,urllc_self_alert,1,5312,0.354,500kbit,none
2026-01-19T17:15:02.273116Z,1,160,0.423,50mbit,none,1,160,,10mbit,none,1,160,0.307,500kbit,none
2026-01-19T17:15:04.172505Z,1,0,0.643,50mbit,none,1,0,0.510,10mbit,urllc_warn,1,0,0.311,500kbit,none
2026-01-19T17:15:06.172221Z,1,0,0.427,50mbit,none,1,0,0.250,10mbit,none,1,0,1.032,800kbit,self_bump
2026-01-19T17:15:08.172226Z,1,0,0.371,50mbit,none,1,0,0.159,10mbit,none,1,0,0.158,500kbit,restore
2026-01-19T17:15:10.173078Z,1,0,0.366,50mbit,none,1,0,0.157,10mbit,none,1,0,0.146,500kbit,none
2026-01-19T17:15:12.172601Z,1,0,0.360,50mbit,none,1,0,0.187,10mbit,none,1,0,0.174,500kbit,none
2026-01-19T17:15:14.172317Z,1,0,0.370,50mbit,none,1,0,0.179,10mbit,none,1,0,0.180,500kbit,none
2026-01-19T17:15:16.173171Z,1,0,0.351,50mbit,none,1,0,,10mbit,none,1,0,0.276,500kbit,none
2026-01-19T17:15:18.173267Z,1,0,0.331,50mbit,none,1,0,0.135,10mbit,none,1,0,0.154,500kbit,none
2026-01-19T17:15:20.172539Z,1,0,0.393,50mbit,none,1,0,,10mbit,none,1,0,0.185,500kbit,none
2026-01-19T17:15:22.172860Z,1,0,0.429,50mbit,none,1,0,0.152,10mbit,none,1,0,0.178,500kbit,none
2026-01-19T17:15:24.172357Z,1,0,0.399,50mbit,none,1,0,,10mbit,none,1,0,0.179,500kbit,none
2026-01-19T17:15:26.213411Z,1,0,0.894,50mbit,none,1,0,1.398,10mbit,urllc_self_alert,1,0,0.636,500kbit,none
2026-01-19T17:15:28.266744Z,1,0,0.783,50mbit,none,1,0,0.614,10mbit,urllc_self_alert,1,0,,800kbit,self_bump
2026-01-19T17:15:30.172162Z,1,0,0.816,50mbit,none,1,0,0.218,10mbit,none,1,0,0.229,500kbit,restore
2026-01-19T17:15:32.172372Z,1,0,0.398,50mbit,none,1,0,0.252,10mbit,none,1,0,0.120,500kbit,none
2026-01-19T17:15:34.172854Z,1,0,0.390,50mbit,none,1,0,0.134,10mbit,none,1,0,,800kbit,self_bump
2026-01-19T17:15:36.172640Z,1,0,157.367,50mbit,none,1,0,,10mbit,none,1,0,0.209,500kbit,restore
2026-01-19T17:15:38.172269Z,1,0,0.403,50mbit,none,1,0,0.218,10mbit,none,1,0,0.223,500kbit,none
2026-01-19T17:15:40.172581Z,1,0,3.762,50mbit,none,1,0,,10mbit,none,1,0,0.345,500kbit,none
2026-01-19T17:15:42.172256Z,1,0,0.394,50mbit,none,1,0,0.661,10mbit,urllc_self_alert,1,0,0.172,500kbit,none
2026-01-19T17:15:44.172766Z,1,0,,50mbit,none,1,0,95.954,10mbit,urllc_self_alert,1,0,0.251,500kbit,none
2026-01-19T17:15:46.172504Z,1,0,0.302,50mbit,none,1,0,0.137,10mbit,none,1,0,,800kbit,self_bump
2026-01-19T17:15:48.171224Z,1,0,0.452,50mbit,none,1,0,0.131,10mbit,none,1,0,0.279,500kbit,restore
2026-01-19T17:15:50.172501Z,1,0,201.991,50mbit,none,1,0,,10mbit,none,1,0,0.232,500kbit,none
2026-01-19T17:15:52.172368Z,1,0,541.644,50mbit,none,1,0,,10mbit,none,1,0,0.258,500kbit,none
2026-01-19T17:15:54.172017Z,1,0,16.898,50mbit,none,1,0,,10mbit,none,1,0,0.256,500kbit,none
2026-01-19T17:15:56.172176Z,1,0,0.350,50mbit,none,1,0,0.250,10mbit,none,1,0,,800kbit,self_bump
2026-01-19T17:15:58.172642Z,1,0,,50mbit,none,1,0,,10mbit,none,1,0,0.256,500kbit,restore
2026-01-19T17:16:00.172496Z,1,0,0.420,50mbit,none,1,0,0.163,10mbit,none,1,0,0.147,500kbit,none
2026-01-19T17:16:02.172144Z,1,0,0.352,50mbit,none,1,0,,10mbit,none,1,0,0.160,500kbit,none
2026-01-19T17:16:04.172577Z,1,0,0.355,50mbit,none,1,0,0.157,10mbit,none,1,0,0.162,500kbit,none
2026-01-19T17:16:06.172141Z,1,0,0.371,50mbit,none,1,0,0.207,10mbit,none,1,0,0.154,500kbit,none
2026-01-19T17:16:08.172617Z,1,0,0.386,50mbit,none,1,0,,10mbit,none,1,0,0.664,500kbit,none
2026-01-19T17:16:10.172774Z,1,0,0.528,50mbit,none,1,0,0.218,10mbit,none,1,0,0.166,500kbit,none
2026-01-19T17:16:12.172462Z,1,0,0.776,50mbit,none,1,0,0.175,10mbit,none,1,0,0.300,500kbit,none
2026-01-19T17:16:14.172320Z,1,0,0.348,50mbit,none,1,0,0.167,10mbit,none,1,0,0.207,500kbit,none
2026-01-19T17:16:16.172764Z,1,0,0.369,50mbit,none,1,0,0.270,10mbit,none,1,0,0.203,500kbit,none
2026-01-19T17:16:18.172598Z,1,0,0.395,50mbit,none,1,0,0.190,10mbit,none,1,0,0.170,500kbit,none
2026-01-19T17:16:20.172146Z,1,0,0.433,50mbit,none,1,0,0.340,10mbit,urllc_warn,1,0,0.302,500kbit,none
2026-01-19T17:16:22.172227Z,1,0,0.379,50mbit,none,1,0,0.292,10mbit,none,1,0,0.165,500kbit,none
2026-01-19T17:16:24.172666Z,1,0,0.354,50mbit,none,1,0,,10mbit,none,1,0,0.192,500kbit,none
2026-01-19T17:16:26.173121Z,1,0,0.345,50mbit,none,1,0,,10mbit,none,1,0,0.182,500kbit,none
2026-01-19T17:16:28.251754Z,1,0,0.403,50mbit,none,1,0,0.147,10mbit,none,1,0,0.159,500kbit,none
2026-01-19T17:16:30.172238Z,1,0,0.291,50mbit,none,1,0,0.218,10mbit,none,1,0,0.182,500kbit,none
2026-01-19T17:16:32.172895Z,1,0,61.548,50mbit,none,1,0,0.209,10mbit,none,1,0,0.206,500kbit,none
2026-01-19T17:16:34.172382Z,1,0,0.385,50mbit,none,1,0,0.144,10mbit,none,1,0,0.157,500kbit,none
2026-01-19T17:16:36.172256Z,1,0,0.357,50mbit,none,1,0,0.208,10mbit,none,1,0,0.237,500kbit,none
2026-01-19T17:16:38.172629Z,1,0,0.369,50mbit,none,1,0,0.268,10mbit,none,1,0,0.204,500kbit,none
2026-01-19T17:16:40.172599Z,1,0,166.014,50mbit,none,1,0,0.564,10mbit,urllc_warn,1,0,,800kbit,self_bump
2026-01-19T17:16:42.172515Z,1,0,0.452,50mbit,none,1,0,0.253,10mbit,none,1,0,0.176,500kbit,restore
