ts,embb_rate,urllc_rate,mmtc_rate,action,layer,reason,embb_bps,embb_ewma,embb_slope,urllc_rtt,predicted_urllc_rtt
2025-12-25T18:33:23.238191Z,50mbit,10mbit,500kbit,none,,,0,0,0,0.211,
2025-12-25T18:33:23.739371Z,50mbit,10mbit,500kbit,none,,,15440,4632,4632,0.168,
2025-12-25T18:33:24.240249Z,50mbit,10mbit,500kbit,none,,,15440,7874,7874,0.165,
2025-12-25T18:33:24.738863Z,50mbit,10mbit,500kbit,none,,,15040,10024,10024,0.163,
2025-12-25T18:33:25.238376Z,50mbit,10mbit,500kbit,none,,,15840,11768,11768,0.163,
2025-12-25T18:33:25.738371Z,50mbit,10mbit,500kbit,none,,,7920,10614,5982,0.154,
2025-12-25T18:33:26.238261Z,50mbit,10mbit,500kbit,none,,,21280,13813,5939,0.207,
2025-12-25T18:33:26.738530Z,50mbit,10mbit,500kbit,none,,,16272,14551,4527,0.218,
2025-12-25T18:33:27.239438Z,50mbit,10mbit,500kbit,none,,,13840,14337,2569,0.307,
2025-12-25T18:33:27.740482Z,50mbit,10mbit,500kbit,none,,,1920,10612,-1,0.311,
2025-12-25T18:33:28.238357Z,50mbit,10mbit,500kbit,none,,,16480,12372,-1441,0.495,
2025-12-25T18:33:28.738844Z,50mbit,10mbit,500kbit,none,,,13840,12812,-1738,0.451,
2025-12-25T18:33:29.241968Z,50mbit,10mbit,500kbit,none,,,13440,13001,-1336,0.451,
2025-12-25T18:33:29.738879Z,50mbit,10mbit,500kbit,none,,,15040,13612,3000,0.741,
2025-12-25T18:33:30.238756Z,50mbit,10mbit,500kbit,none,,,16272,14410,2037,0.652,
2025-12-25T18:33:30.739121Z,40mbit,10mbit,500kbit,preempt_embb,predictive,predicted URLLC risk,15840,14839,2026,0.686,6.861
2025-12-25T18:33:31.240091Z,40mbit,10mbit,500kbit,none,,,15840,15139,2138,0.503,9.395
2025-12-25T18:33:31.738513Z,40mbit,10mbit,500kbit,none,,,13840,14749,1136,0.503,6.098
2025-12-25T18:33:32.238484Z,40mbit,10mbit,500kbit,none,,,15040,14836,426,0.507,3.651
2025-12-25T18:33:32.739178Z,40mbit,10mbit,500kbit,none,,,16704,15396,557,0.507,7.332
2025-12-25T18:33:33.240063Z,40mbit,10mbit,500kbit,none,,,15840,15529,390,0.507,8.499
2025-12-25T18:33:33.740371Z,40mbit,10mbit,500kbit,none,,,15440,15502,753,0.511,5.953
2025-12-25T18:33:34.238956Z,40mbit,10mbit,500kbit,none,,,15040,15364,527,0.511,5.620
2025-12-25T18:33:34.768577Z,40mbit,10mbit,500kbit,none,,,9440,13586,-1810,0.511,7.026
2025-12-25T18:33:35.238275Z,40mbit,10mbit,500kbit,none,,,18576,15083,-446,0.581,7.143
2025-12-25T18:33:35.739279Z,40mbit,10mbit,500kbit,none,,,15040,15070,-432,0.540,7.806
2025-12-25T18:33:36.238330Z,40mbit,10mbit,500kbit,none,,,16272,15430,66,0.536,7.975
2025-12-25T18:33:36.741385Z,40mbit,10mbit,500kbit,none,,,13440,14833,1246,0.532,6.598
2025-12-25T18:33:37.238784Z,40mbit,10mbit,500kbit,none,,,13360,14391,-692,0.224,7.057
2025-12-25T18:33:37.741410Z,40mbit,10mbit,500kbit,none,,,13440,14106,-964,0.154,6.945
2025-12-25T18:33:38.239151Z,40mbit,10mbit,500kbit,none,,,13840,14026,-1404,0.158,7.564
2025-12-25T18:33:38.738781Z,40mbit,10mbit,500kbit,none,,,15440,14450,-383,0.167,7.395
2025-12-25T18:33:39.238984Z,40mbit,10mbit,800kbit,bump_mmtc,reactive,loss,15440,14747,355,0.179,5.867
2025-12-25T18:33:39.739200Z,40mbit,10mbit,800kbit,none,,,13840,14475,368,0.185,6.903
2025-12-25T18:33:40.239244Z,40mbit,10mbit,800kbit,none,,,13440,14164,138,0.394,6.835
2025-12-25T18:33:40.738673Z,40mbit,10mbit,800kbit,none,,,15040,14427,-23,0.988,7.008
2025-12-25T18:33:41.240287Z,40mbit,10mbit,800kbit,none,,,15440,14731,-16,0.981,6.251
2025-12-25T18:33:41.739010Z,40mbit,10mbit,800kbit,none,,,6880,12375,-2099,0.981,6.982
2025-12-25T18:33:42.239917Z,40mbit,10mbit,800kbit,none,,,22832,15512,1348,0.984,4.787
2025-12-25T18:33:42.740613Z,40mbit,10mbit,800kbit,none,,,13840,15010,583,0.980,6.423
2025-12-25T18:33:43.238715Z,40mbit,10mbit,800kbit,none,,,15840,15259,528,0.980,8.803
2025-12-25T18:33:43.739287Z,40mbit,10mbit,800kbit,none,,,15040,15193,2817,0.777,6.148
2025-12-25T18:33:44.238973Z,40mbit,10mbit,800kbit,none,,,15440,15267,-245,0.398,5.434
2025-12-25T18:33:44.738598Z,40mbit,10mbit,800kbit,none,,,15440,15319,308,0.394,5.684
2025-12-25T18:33:45.239953Z,40mbit,10mbit,800kbit,none,,,13440,14755,-504,0.382,8.474
2025-12-25T18:33:45.738452Z,40mbit,10mbit,800kbit,none,,,15840,15080,-112,0.382,7.392
2025-12-25T18:33:46.240135Z,40mbit,10mbit,800kbit,none,,,16672,15558,290,0.382,4.755
2025-12-25T18:33:46.738470Z,40mbit,10mbit,800kbit,none,,,13440,14922,-396,0.707,8.084
2025-12-25T18:33:47.239404Z,40mbit,10mbit,800kbit,none,,,11840,13997,-757,0.707,8.014
2025-12-25T18:33:47.740222Z,40mbit,10mbit,800kbit,none,,,15440,14430,-650,1.436,6.113
2025-12-25T18:33:48.238398Z,40mbit,10mbit,800kbit,none,,,15440,14733,-824,1.257,5.863
2025-12-25T18:33:48.738729Z,40mbit,10mbit,800kbit,bump_mmtc,reactive,loss,15040,14825,-97,1.267,9.288
2025-12-25T18:33:49.240450Z,40mbit,10mbit,800kbit,none,,,15040,14889,891,1.934,7.994
2025-12-25T18:33:49.739915Z,40mbit,10mbit,800kbit,none,,,15840,15174,744,1.610,6.269
2025-12-25T18:33:50.240977Z,40mbit,10mbit,800kbit,none,,,15840,15374,640,1.610,6.890
2025-12-25T18:33:50.738815Z,40mbit,10mbit,800kbit,none,,,15440,15394,568,1.610,9.596
2025-12-25T18:33:51.240423Z,40mbit,10mbit,800kbit,none,,,15040,15287,398,1.610,8.534
2025-12-25T18:33:51.738963Z,40mbit,10mbit,800kbit,none,,,15440,15333,158,0.878,6.433
2025-12-25T18:33:52.238487Z,40mbit,10mbit,800kbit,none,,,13840,14885,-488,0.836,7.667
2025-12-25T18:33:52.738815Z,40mbit,10mbit,800kbit,none,,,15840,15171,-222,0.825,8.809
2025-12-25T18:33:53.241186Z,40mbit,10mbit,800kbit,none,,,15440,15252,-35,0.825,7.740
2025-12-25T18:33:53.739034Z,40mbit,10mbit,800kbit,none,,,13440,14708,-624,0.825,7.455
2025-12-25T18:33:54.239118Z,40mbit,10mbit,800kbit,none,,,15040,14808,-77,0.156,7.977
2025-12-25T18:33:54.738859Z,40mbit,10mbit,800kbit,bump_mmtc,reactive,loss,13840,14517,-654,0.212,7.606
2025-12-25T18:33:55.238556Z,40mbit,10mbit,800kbit,none,,,13840,14314,-937,0.206,7.790
2025-12-25T18:33:55.739920Z,40mbit,10mbit,800kbit,none,,,13840,14172,-536,0.206,7.405
2025-12-25T18:33:56.238413Z,40mbit,10mbit,800kbit,none,,,13440,13952,-855,0.218,7.703
2025-12-25T18:33:56.739155Z,40mbit,10mbit,800kbit,none,,,15440,14398,-118,0.426,6.373
2025-12-25T18:33:57.238453Z,40mbit,10mbit,800kbit,none,,,15040,14591,276,0.426,6.929
2025-12-25T18:33:57.739888Z,40mbit,10mbit,800kbit,none,,,14672,14615,443,0.425,7.870
2025-12-25T18:33:58.238552Z,40mbit,10mbit,800kbit,none,,,15840,14982,1030,0.365,6.610
2025-12-25T18:33:58.738504Z,40mbit,10mbit,800kbit,bump_mmtc,reactive,loss,15040,14999,601,0.401,6.642
2025-12-25T18:33:59.240366Z,40mbit,10mbit,800kbit,none,,,16272,15381,790,0.401,7.077
2025-12-25T18:33:59.738797Z,40mbit,10mbit,800kbit,none,,,7520,13023,-1592,0.394,7.209
