orch,level,file,n,mean,med,std,min,max,viol15,viol20,embb_mean,tc_mean,throttle_cnt,restore_cnt
agentic,high,exp_high_agentic_20260604_051545.csv,355,13.848366197183099,13.27,2.8018831703961284,11.97,43.2,12.112676056338028,1.6901408450704223,144.5530704225352,695.4929577464789,6.0,6.0
agentic,high,exp_high_agentic_20260604_062019.csv,355,13.737295774647887,13.4,1.1438733928297764,11.63,16.53,18.87323943661972,0.0,152.7616338028169,811.830985915493,7.0,7.0
agentic,high,exp_high_agentic_20260604_072453.csv,355,13.218647887323943,13.03,1.0804225358129182,11.97,19.13,4.507042253521127,0.0,94.62236619718311,725.9154929577464,7.0,7.0
rule_based,high,exp_high_rule_based_20260604_020314.csv,356,14.998876404494384,13.8,6.490443581829093,12.2,70.3,16.292134831460675,2.8089887640449436,160.16573033707866,933.2865168539325,0.0,1.0
rule_based,high,exp_high_rule_based_20260604_030711.csv,356,12.774719101123596,12.7,0.49524520007517436,11.73,14.7,0.0,0.0,76.7317415730337,1000.0,0.0,0.0
rule_based,high,exp_high_rule_based_20260604_041108.csv,356,12.625421348314605,12.5,0.6760657456106145,11.7,18.0,1.4044943820224718,0.0,80.0682584269663,1000.0,0.0,0.0
agentic,low,exp_low_agentic_20260604_043449.csv,355,14.261718309859155,13.1,6.739301136425954,11.6,83.33,12.112676056338028,2.535211267605634,114.61512676056337,707.4647887323944,6.0,6.0
agentic,low,exp_low_agentic_20260604_053922.csv,355,13.161323943661973,13.0,1.02744249120336,11.8,20.4,4.225352112676056,0.5633802816901409,96.1041971830986,802.112676056338,7.0,7.0
agentic,low,exp_low_agentic_20260604_064355.csv,355,13.906309859154929,13.3,1.9428180548140792,12.13,29.9,18.30985915492958,1.1267605633802817,125.01194366197183,769.5774647887324,10.0,10.0
rule_based,low,exp_low_rule_based_20260604_012214.csv,356,19.333932584269665,14.575,24.11776158618035,0.0,271.37,38.764044943820224,15.730337078651685,119.29522471910114,541.0112359550562,6.0,6.0
rule_based,low,exp_low_rule_based_20260604_022615.csv,356,12.561039325842696,12.47,0.6421037506650585,11.8,17.9,1.1235955056179776,0.0,80.15112359550562,1000.0,0.0,0.0
rule_based,low,exp_low_rule_based_20260604_033012.csv,356,12.5936797752809,12.53,0.4013978374727954,11.67,14.03,0.0,0.0,76.60421348314607,1000.0,0.0,0.0
agentic,medium,exp_medium_agentic_20260604_045517.csv,355,13.118225352112677,13.0,0.8581328798434711,12.03,18.07,3.0985915492957745,0.0,99.22208450704227,749.4366197183099,8.0,8.0
agentic,medium,exp_medium_agentic_20260604_055950.csv,355,13.208704225352113,13.17,0.6307524068213372,12.0,16.8,0.8450704225352111,0.0,116.10287323943663,831.830985915493,7.0,7.0
agentic,medium,exp_medium_agentic_20260604_070424.csv,355,13.352169014084508,13.23,0.981142292097454,12.17,23.73,2.2535211267605635,0.28169014084507044,92.77076056338029,743.8028169014085,9.0,9.0
rule_based,medium,exp_medium_rule_based_20260604_014246.csv,356,17.17612359550562,14.45,13.670420112707605,12.2,118.2,30.337078651685395,6.460674157303371,156.34859550561796,815.870786516854,5.0,6.0
rule_based,medium,exp_medium_rule_based_20260604_024643.csv,356,12.69376404494382,12.53,1.2542611945557356,11.77,23.33,1.6853932584269662,1.4044943820224718,81.11516853932584,1000.0,0.0,0.0
rule_based,medium,exp_medium_rule_based_20260604_035040.csv,356,12.55056179775281,12.5,0.3802596875466778,11.73,13.83,0.0,0.0,78.35589887640448,1000.0,0.0,0.0
