timestamp,datetime,urllc_rtt_ms,urllc_rtt_max_ms,urllc_fails,embb_mbps,embb_rate_mbit,mmtc_msgs,mmtc_rate_per_min,sla_violated,orchestrator_type,orchestrator_state,violation_streak,recovery_streak,action_taken,decision_latency_ms,reasoning,node_cpu_percent,node_memory_percent,pod_replicas_embb,pod_replicas_urllc,pod_replicas_mmtc,traffic_level,orchestrator_label,embb_ue_count,urllc_ue_count,mmtc_ue_count,run_id,sample_index
1778698756.364779,2026-05-14 00:29:16,21.7,1066.1,0,126.0,50,0,0,1,rule_based,1,0,0,throttle_embb,0.01,RTT=21.7ms exceeded 15ms SLA threshold (streak=0); throttling eMBB to 50Mbps,0,85,3,3,5,high,rule_based,3,3,5,20260514_002915,0
1778698758.0880885,2026-05-14 00:29:18,21.6,1066.1,0,120.8,50,0,0,1,rule_based,1,0,0,hold_throttle,0.01,RTT=21.6ms still elevated (streak=0); maintaining throttle at 50Mbps,6,85,3,3,5,high,rule_based,3,3,5,20260514_002915,1
1778698760.0940545,2026-05-14 00:29:20,21.6,1066.1,0,120.8,50,0,0,1,rule_based,1,0,0,hold_throttle,0.01,RTT=21.6ms still elevated (streak=0); maintaining throttle at 50Mbps,10,84,3,3,5,high,rule_based,3,3,5,20260514_002915,2
1778698762.0747402,2026-05-14 00:29:22,21.6,1066.1,0,120.8,50,0,0,1,rule_based,1,0,0,hold_throttle,0.01,RTT=21.6ms still elevated (streak=0); maintaining throttle at 50Mbps,6,84,3,3,5,high,rule_based,3,3,5,20260514_002915,3
1778698764.073485,2026-05-14 00:29:24,21.6,1066.1,0,127.4,50,100,3001.9,1,rule_based,1,0,0,hold_throttle,0.01,RTT=21.6ms still elevated (streak=0); maintaining throttle at 50Mbps,9,84,3,3,5,high,rule_based,3,3,5,20260514_002915,4
1778698766.0824978,2026-05-14 00:29:26,21.6,1066.1,0,127.4,50,100,0,1,rule_based,1,0,0,hold_throttle,0.01,RTT=21.6ms still elevated (streak=0); maintaining throttle at 50Mbps,5,84,3,3,5,high,rule_based,3,3,5,20260514_002915,5
1778698768.0944917,2026-05-14 00:29:28,21.63,1066.1,0,127.4,50,100,0,1,rule_based,1,0,0,hold_throttle,0.01,RTT=21.6ms still elevated (streak=0); maintaining throttle at 50Mbps,5,84,3,3,5,high,rule_based,3,3,5,20260514_002915,6
1778698770.2288032,2026-05-14 00:29:30,21.63,1066.1,0,153.0,50,500,11244.8,1,rule_based,1,0,0,hold_throttle,0.02,RTT=21.6ms still elevated (streak=0); maintaining throttle at 50Mbps,13,85,3,3,5,high,rule_based,3,3,5,20260514_002915,7
1778698772.101291,2026-05-14 00:29:32,21.63,1066.1,0,153.0,50,500,0,1,rule_based,1,0,0,hold_throttle,0.01,RTT=21.6ms still elevated (streak=0); maintaining throttle at 50Mbps,5,85,3,3,5,high,rule_based,3,3,5,20260514_002915,8
1778698774.062909,2026-05-14 00:29:34,21.63,1066.1,0,153.0,50,500,0,1,rule_based,1,0,0,hold_throttle,0.01,RTT=21.6ms still elevated (streak=0); maintaining throttle at 50Mbps,7,84,3,3,5,high,rule_based,3,3,5,20260514_002915,9
