ts,slice,ifname,rx_bytes,rx_pkts,tx_bytes,tx_pkts,tcp_rtt_ms,probe_loss,tun_exists
2025-11-25T17:15:19.749830Z,embb,uesimtun0,141456,1684,142192,1697,1.700,0,1
2025-11-25T17:15:19.749830Z,urllc,uesimtun1,141204,1681,141940,1694,1.084,0,1
2025-11-25T17:15:19.749830Z,mmtc,uesimtun2,141120,1680,141856,1693,1.038,0,1
2025-11-25T17:15:20.000119Z,embb,uesimtun0,141621,1687,142436,1702,1.554,0,1
2025-11-25T17:15:20.000119Z,urllc,uesimtun1,141344,1684,142104,1697,1.212,0,1
2025-11-25T17:15:20.000119Z,mmtc,uesimtun2,141285,1683,142100,1698,1.113,0,1
2025-11-25T17:15:20.250299Z,embb,uesimtun0,141786,1690,142680,1707,1.395,0,1
2025-11-25T17:15:20.250299Z,urllc,uesimtun1,141509,1687,142348,1702,,1,1
2025-11-25T17:15:20.250299Z,mmtc,uesimtun2,141450,1686,142344,1703,1.674,0,1
2025-11-25T17:15:20.580908Z,embb,uesimtun0,141951,1693,142924,1712,2.199,0,1
2025-11-25T17:15:20.580908Z,urllc,uesimtun1,141549,1688,142408,1703,1.121,0,1
2025-11-25T17:15:20.580908Z,mmtc,uesimtun2,141615,1689,142588,1708,0.856,0,1
2025-11-25T17:15:20.749855Z,embb,uesimtun0,142116,1696,143168,1717,1.229,0,1
2025-11-25T17:15:20.749855Z,urllc,uesimtun1,141689,1691,142572,1706,,1,1
2025-11-25T17:15:20.749855Z,mmtc,uesimtun2,141780,1692,142832,1713,0.938,0,1
2025-11-25T17:15:20.999962Z,embb,uesimtun0,142281,1699,143412,1722,1.406,0,1
2025-11-25T17:15:20.999962Z,urllc,uesimtun1,141729,1692,142632,1707,0.940,0,1
2025-11-25T17:15:20.999962Z,mmtc,uesimtun2,141945,1695,143076,1718,0.961,0,1
2025-11-25T17:15:21.250321Z,embb,uesimtun0,142446,1702,143656,1727,1.656,0,1
2025-11-25T17:15:21.250321Z,urllc,uesimtun1,141869,1695,142796,1710,1.232,0,1
2025-11-25T17:15:21.250321Z,mmtc,uesimtun2,142110,1698,143320,1723,1.316,0,1
2025-11-25T17:15:21.550852Z,embb,uesimtun0,142611,1705,143900,1732,2.172,0,1
2025-11-25T17:15:21.550852Z,urllc,uesimtun1,142034,1698,143040,1715,1.137,0,1
2025-11-25T17:15:21.550852Z,mmtc,uesimtun2,142275,1701,143564,1728,1.139,0,1
2025-11-25T17:15:21.750928Z,embb,uesimtun0,142776,1708,144144,1737,1.319,0,1
2025-11-25T17:15:21.750928Z,urllc,uesimtun1,142174,1701,143204,1718,1.048,0,1
2025-11-25T17:15:21.750928Z,mmtc,uesimtun2,142440,1704,143808,1733,1.065,0,1
2025-11-25T17:15:22.000456Z,embb,uesimtun0,142941,1711,144388,1742,1.386,0,1
2025-11-25T17:15:22.000456Z,urllc,uesimtun1,142314,1704,143368,1721,1.041,0,1
2025-11-25T17:15:22.000456Z,mmtc,uesimtun2,142605,1707,144052,1738,0.894,0,1
2025-11-25T17:15:22.250230Z,embb,uesimtun0,143106,1714,144632,1747,8.975,0,1
2025-11-25T17:15:22.250230Z,urllc,uesimtun1,142454,1707,143532,1724,1.026,0,1
2025-11-25T17:15:22.250230Z,mmtc,uesimtun2,142770,1710,144296,1743,1.057,0,1
2025-11-25T17:15:22.500211Z,embb,uesimtun0,143271,1717,144876,1752,49.133,0,1
2025-11-25T17:15:22.500211Z,urllc,uesimtun1,142594,1710,143696,1727,1.538,0,1
2025-11-25T17:15:22.500211Z,mmtc,uesimtun2,142935,1713,144540,1748,1.079,0,1
2025-11-25T17:15:22.750251Z,embb,uesimtun0,143436,1720,145120,1757,1.325,0,1
2025-11-25T17:15:22.750251Z,urllc,uesimtun1,142734,1713,143860,1730,1.033,0,1
2025-11-25T17:15:22.750251Z,mmtc,uesimtun2,143100,1716,144784,1753,0.992,0,1
2025-11-25T17:15:23.000521Z,embb,uesimtun0,143601,1723,145364,1762,5.677,0,1
2025-11-25T17:15:23.000521Z,urllc,uesimtun1,142899,1716,144104,1735,,1,1
2025-11-25T17:15:23.000521Z,mmtc,uesimtun2,143265,1719,145028,1758,1.023,0,1
2025-11-25T17:15:23.251017Z,embb,uesimtun0,143766,1726,145608,1767,18.896,0,1
2025-11-25T17:15:23.251017Z,urllc,uesimtun1,142939,1717,144164,1736,1.106,0,1
2025-11-25T17:15:23.251017Z,mmtc,uesimtun2,143430,1722,145272,1763,1.034,0,1
2025-11-25T17:15:23.500768Z,embb,uesimtun0,143931,1729,145852,1772,68.891,0,1
2025-11-25T17:15:23.500768Z,urllc,uesimtun1,143104,1720,144408,1741,1.047,0,1
2025-11-25T17:15:23.500768Z,mmtc,uesimtun2,143595,1725,145516,1768,1.052,0,1
2025-11-25T17:15:23.750649Z,embb,uesimtun0,144096,1732,146096,1777,1.184,0,1
2025-11-25T17:15:23.750649Z,urllc,uesimtun1,143269,1723,144652,1746,0.981,0,1
2025-11-25T17:15:23.750649Z,mmtc,uesimtun2,143735,1728,145680,1771,0.913,0,1
2025-11-25T17:15:24.001064Z,embb,uesimtun0,144261,1735,146340,1782,1.442,0,1
2025-11-25T17:15:24.001064Z,urllc,uesimtun1,143409,1726,144816,1749,1.098,0,1
2025-11-25T17:15:24.001064Z,mmtc,uesimtun2,143900,1731,145924,1776,1.056,0,1
2025-11-25T17:15:24.251965Z,embb,uesimtun0,144426,1738,146584,1787,1.311,0,1
2025-11-25T17:15:24.251965Z,urllc,uesimtun1,143549,1729,144980,1752,1.041,0,1
2025-11-25T17:15:24.251965Z,mmtc,uesimtun2,144065,1734,146168,1781,1.009,0,1
2025-11-25T17:15:24.500309Z,embb,uesimtun0,144591,1741,146828,1792,49.450,0,1
2025-11-25T17:15:24.500309Z,urllc,uesimtun1,143689,1732,145144,1755,,1,1
2025-11-25T17:15:24.500309Z,mmtc,uesimtun2,144230,1737,146412,1786,1.103,0,1
2025-11-25T17:15:24.750645Z,embb,uesimtun0,144756,1744,147072,1797,1.402,0,1
