ts,slice,ifname,rx_bytes,rx_pkts,tx_bytes,tx_pkts,probe_rtt_ms,probe_loss,tun_exists
2025-11-25T16:13:52.669269Z,embb,uesimtun0,6844,94,10212,135,,1,1
2025-11-25T16:13:52.669269Z,urllc,uesimtun1,12372,209,88079950,957452,,1,1
2025-11-25T16:13:52.669269Z,mmtc,uesimtun2,22667,370,34961919,25777,,1,1
2025-11-25T16:13:52.919970Z,embb,uesimtun0,7012,96,10380,137,,1,1
2025-11-25T16:13:52.919970Z,urllc,uesimtun1,12456,210,88976022,967192,,1,1
2025-11-25T16:13:52.919970Z,mmtc,uesimtun2,22751,371,35468431,26147,,1,1
2025-11-25T16:13:53.169388Z,embb,uesimtun0,7180,98,10548,139,,1,1
2025-11-25T16:13:53.169388Z,urllc,uesimtun1,12881,217,89870399,976915,,1,1
2025-11-25T16:13:53.169388Z,mmtc,uesimtun2,23040,376,35986221,26529,,1,1
2025-11-25T16:13:53.419535Z,embb,uesimtun0,7348,100,10716,141,,1,1
2025-11-25T16:13:53.419535Z,urllc,uesimtun1,12965,218,90995083,989140,,1,1
2025-11-25T16:13:53.419535Z,mmtc,uesimtun2,23124,377,36741849,27081,,1,1
2025-11-25T16:13:53.669406Z,embb,uesimtun0,7348,100,10800,142,,1,1
2025-11-25T16:13:53.669406Z,urllc,uesimtun1,13266,223,91891868,998889,,1,1
2025-11-25T16:13:53.669406Z,mmtc,uesimtun2,23493,384,37490783,27631,,1,1
2025-11-25T16:13:53.968368Z,embb,uesimtun0,7516,102,11052,145,,1,1
2025-11-25T16:13:53.968368Z,urllc,uesimtun1,13675,231,92557410,1006125,,1,1
2025-11-25T16:13:53.968368Z,mmtc,uesimtun2,23862,391,37638345,27743,,1,1
2025-11-25T16:13:54.309446Z,embb,uesimtun0,7684,104,11220,147,,1,1
2025-11-25T16:13:54.309446Z,urllc,uesimtun1,13759,232,94172186,1023677,,1,1
2025-11-25T16:13:54.309446Z,mmtc,uesimtun2,24030,393,38808173,28596,,1,1
2025-11-25T16:13:54.559688Z,embb,uesimtun0,7684,104,11304,148,,1,1
2025-11-25T16:13:54.559688Z,urllc,uesimtun1,14273,242,94659785,1028980,,1,1
2025-11-25T16:13:54.559688Z,mmtc,uesimtun2,24114,394,38853665,28630,,1,1
2025-11-25T16:13:54.809797Z,embb,uesimtun0,7768,105,11388,149,,1,1
2025-11-25T16:13:54.809797Z,urllc,uesimtun1,14654,249,95550958,1038668,,1,1
2025-11-25T16:13:54.809797Z,mmtc,uesimtun2,24198,395,39358741,28998,,1,1
2025-11-25T16:13:55.060390Z,embb,uesimtun0,7936,107,11556,151,,1,1
2025-11-25T16:13:55.060390Z,urllc,uesimtun1,14882,252,96453111,1048475,,1,1
2025-11-25T16:13:55.060390Z,mmtc,uesimtun2,24450,398,39873617,29375,,1,1
2025-11-25T16:13:55.310064Z,embb,uesimtun0,8104,109,11724,153,,1,1
2025-11-25T16:13:55.310064Z,urllc,uesimtun1,15163,257,97632224,1061292,,1,1
2025-11-25T16:13:55.310064Z,mmtc,uesimtun2,24791,404,40790454,30047,,1,1
2025-11-25T16:13:55.560125Z,embb,uesimtun0,8188,110,11808,154,,1,1
2025-11-25T16:13:55.560125Z,urllc,uesimtun1,15163,257,98250732,1068015,,1,1
2025-11-25T16:13:55.560125Z,mmtc,uesimtun2,24875,405,40903370,30130,,1,1
2025-11-25T16:13:55.809968Z,embb,uesimtun0,8272,111,11892,155,,1,1
2025-11-25T16:13:55.809968Z,urllc,uesimtun1,15247,258,99151036,1077801,,1,1
2025-11-25T16:13:55.809968Z,mmtc,uesimtun2,24959,406,41419454,30506,,1,1
2025-11-25T16:13:56.060040Z,embb,uesimtun0,8524,114,12144,158,,1,1
2025-11-25T16:13:56.060040Z,urllc,uesimtun1,15499,261,100044876,1087517,,1,1
2025-11-25T16:13:56.060040Z,mmtc,uesimtun2,25468,414,41930455,30884,,1,1
2025-11-25T16:13:56.529758Z,embb,uesimtun0,8608,115,12228,159,,1,1
2025-11-25T16:13:56.529758Z,urllc,uesimtun1,15667,263,102151568,1110416,,1,1
2025-11-25T16:13:56.529758Z,mmtc,uesimtun2,25817,420,43378771,31948,,1,1
2025-11-25T16:13:56.894146Z,embb,uesimtun0,8692,116,12396,161,,1,1
2025-11-25T16:13:56.894146Z,urllc,uesimtun1,15751,264,103052868,1120213,,1,1
2025-11-25T16:13:56.894146Z,mmtc,uesimtun2,25817,420,43659559,32153,,1,1
2025-11-25T16:13:57.145031Z,embb,uesimtun0,8860,118,12564,163,,1,1
2025-11-25T16:13:57.145031Z,urllc,uesimtun1,16003,267,103953432,1130002,,1,1
2025-11-25T16:13:57.145031Z,mmtc,uesimtun2,26242,427,44174604,32533,,1,1
2025-11-25T16:13:57.394522Z,embb,uesimtun0,8944,119,12648,164,,1,1
2025-11-25T16:13:57.394522Z,urllc,uesimtun1,16171,269,105170208,1143228,,1,1
2025-11-25T16:13:57.394522Z,mmtc,uesimtun2,26483,431,44919305,33078,,1,1
2025-11-25T16:13:57.644654Z,embb,uesimtun0,8944,119,12732,165,,1,1
2025-11-25T16:13:57.644654Z,urllc,uesimtun1,16255,270,105645748,1148397,,1,1
2025-11-25T16:13:57.644654Z,mmtc,uesimtun2,27081,442,45192343,33285,,1,1
2025-11-25T16:13:57.894939Z,embb,uesimtun0,9028,120,12816,166,,1,1
2025-11-25T16:13:57.894939Z,urllc,uesimtun1,16339,271,106546420,1158187,,1,1
2025-11-25T16:13:57.894939Z,mmtc,uesimtun2,27249,444,45707135,33661,,1,1
2025-11-25T16:13:58.144428Z,embb,uesimtun0,9112,121,12900,167,,1,1
2025-11-25T16:13:58.144428Z,urllc,uesimtun1,16507,273,107445336,1167958,,1,1
2025-11-25T16:13:58.144428Z,mmtc,uesimtun2,27417,446,46224679,34039,,1,1
2025-11-25T16:13:58.394502Z,embb,uesimtun0,9196,122,12984,168,,1,1
2025-11-25T16:13:58.394502Z,urllc,uesimtun1,16591,274,108735712,1181984,,1,1
2025-11-25T16:13:58.394502Z,mmtc,uesimtun2,27501,447,46976119,34587,,1,1
2025-11-25T16:13:58.644390Z,embb,uesimtun0,9196,122,13068,169,,1,1
2025-11-25T16:13:58.644390Z,urllc,uesimtun1,16675,275,109231216,1187370,,1,1
2025-11-25T16:13:58.644390Z,mmtc,uesimtun2,27585,448,47265163,34798,,1,1
2025-11-25T16:13:58.894451Z,embb,uesimtun0,9364,124,13236,171,,1,1
2025-11-25T16:13:58.894451Z,urllc,uesimtun1,17100,282,110125325,1197090,,1,1
2025-11-25T16:13:58.894451Z,mmtc,uesimtun2,27837,451,47771783,35169,,1,1
2025-11-25T16:13:59.144461Z,embb,uesimtun0,9532,126,13404,173,,1,1
2025-11-25T16:13:59.144461Z,urllc,uesimtun1,17184,283,111016981,1206782,,1,1
2025-11-25T16:13:59.144461Z,mmtc,uesimtun2,28142,455,48186372,35476,,1,1
