ts,slice,ifname,rx_bytes,rx_pkts,tx_bytes,tx_pkts,probe_rtt_ms,probe_loss,tun_exists
2025-11-25T16:46:55.582028Z,embb,uesimtun0,23308,333,25972,342,,1,1
2025-11-25T16:46:55.582028Z,urllc,uesimtun1,23320,330,25864,339,,1,1
2025-11-25T16:46:55.582028Z,mmtc,uesimtun2,25392,384,29056,393,,1,1
2025-11-25T16:46:55.832472Z,embb,uesimtun0,23432,335,26116,344,,1,1
2025-11-25T16:46:55.832472Z,urllc,uesimtun1,23404,331,25948,340,,1,1
2025-11-25T16:46:55.832472Z,mmtc,uesimtun2,25600,387,29284,396,,1,1
2025-11-25T16:46:56.082705Z,embb,uesimtun0,23516,336,26200,345,,1,1
2025-11-25T16:46:56.082705Z,urllc,uesimtun1,23488,332,26032,341,,1,1
2025-11-25T16:46:56.082705Z,mmtc,uesimtun2,25684,388,29368,397,,1,1
2025-11-25T16:46:56.333025Z,embb,uesimtun0,23600,337,26284,346,,1,1
2025-11-25T16:46:56.333025Z,urllc,uesimtun1,23572,333,26116,342,,1,1
2025-11-25T16:46:56.333025Z,mmtc,uesimtun2,25768,389,29512,399,,1,1
2025-11-25T16:46:56.582706Z,embb,uesimtun0,23976,342,26680,351,,1,1
2025-11-25T16:46:56.582706Z,urllc,uesimtun1,23944,339,26548,348,,1,1
2025-11-25T16:46:56.582706Z,mmtc,uesimtun2,26268,396,29992,405,,1,1
2025-11-25T16:46:56.832394Z,embb,uesimtun0,24144,344,26848,353,,1,1
2025-11-25T16:46:56.832394Z,urllc,uesimtun1,24028,340,26632,349,,1,1
2025-11-25T16:46:56.832394Z,mmtc,uesimtun2,26352,397,30076,406,,1,1
2025-11-25T16:46:57.082658Z,embb,uesimtun0,24228,345,26932,354,,1,1
2025-11-25T16:46:57.082658Z,urllc,uesimtun1,24112,341,26716,350,,1,1
2025-11-25T16:46:57.082658Z,mmtc,uesimtun2,26436,398,30160,407,,1,1
2025-11-25T16:46:57.332944Z,embb,uesimtun0,24312,346,27016,355,,1,1
2025-11-25T16:46:57.332944Z,urllc,uesimtun1,24196,342,26800,351,,1,1
2025-11-25T16:46:57.332944Z,mmtc,uesimtun2,26560,400,30304,409,,1,1
2025-11-25T16:46:57.582633Z,embb,uesimtun0,24772,352,27496,361,,1,1
2025-11-25T16:46:57.582633Z,urllc,uesimtun1,24616,347,27220,356,,1,1
2025-11-25T16:46:57.582633Z,mmtc,uesimtun2,27016,407,30820,416,,1,1
2025-11-25T16:46:57.833142Z,embb,uesimtun0,24940,354,27664,363,,1,1
2025-11-25T16:46:57.833142Z,urllc,uesimtun1,24700,348,27304,357,,1,1
2025-11-25T16:46:57.833142Z,mmtc,uesimtun2,27100,408,30904,417,,1,1
2025-11-25T16:46:58.082425Z,embb,uesimtun0,25024,355,27748,364,,1,1
2025-11-25T16:46:58.082425Z,urllc,uesimtun1,24784,349,27388,358,,1,1
2025-11-25T16:46:58.082425Z,mmtc,uesimtun2,27184,409,30988,418,,1,1
2025-11-25T16:46:58.407270Z,embb,uesimtun0,25108,356,27892,366,,1,1
2025-11-25T16:46:58.407270Z,urllc,uesimtun1,25196,356,27880,365,,1,1
2025-11-25T16:46:58.407270Z,mmtc,uesimtun2,27308,411,31132,420,,1,1
2025-11-25T16:46:58.657974Z,embb,uesimtun0,25400,360,28144,369,,1,1
2025-11-25T16:46:58.657974Z,urllc,uesimtun1,25364,358,28048,367,,1,1
2025-11-25T16:46:58.657974Z,mmtc,uesimtun2,27600,415,31444,424,,1,1
2025-11-25T16:46:58.907469Z,embb,uesimtun0,25484,361,28228,370,,1,1
2025-11-25T16:46:58.907469Z,urllc,uesimtun1,25448,359,28132,368,,1,1
2025-11-25T16:46:58.907469Z,mmtc,uesimtun2,27724,417,31588,426,,1,1
2025-11-25T16:46:59.157537Z,embb,uesimtun0,25568,362,28312,371,,1,1
2025-11-25T16:46:59.157537Z,urllc,uesimtun1,25532,360,28216,369,,1,1
2025-11-25T16:46:59.157537Z,mmtc,uesimtun2,27808,418,31672,427,,1,1
2025-11-25T16:46:59.407589Z,embb,uesimtun0,25652,363,28396,372,,1,1
2025-11-25T16:46:59.407589Z,urllc,uesimtun1,25616,361,28300,370,,1,1
2025-11-25T16:46:59.407589Z,mmtc,uesimtun2,28060,421,31924,430,,1,1
2025-11-25T16:46:59.657683Z,embb,uesimtun0,25984,368,28768,377,,1,1
2025-11-25T16:46:59.657683Z,urllc,uesimtun1,25784,363,28468,372,,1,1
2025-11-25T16:46:59.657683Z,mmtc,uesimtun2,28352,425,32236,434,,1,1
2025-11-25T16:46:59.908270Z,embb,uesimtun0,26068,369,28852,378,,1,1
2025-11-25T16:46:59.908270Z,urllc,uesimtun1,25952,365,28636,374,,1,1
2025-11-25T16:46:59.908270Z,mmtc,uesimtun2,28436,426,32320,435,,1,1
2025-11-25T16:47:00.157706Z,embb,uesimtun0,26152,370,28936,379,,1,1
2025-11-25T16:47:00.157706Z,urllc,uesimtun1,26036,366,28720,375,,1,1
2025-11-25T16:47:00.157706Z,mmtc,uesimtun2,28520,427,32404,436,,1,1
2025-11-25T16:47:00.407779Z,embb,uesimtun0,26236,371,29020,380,,1,1
2025-11-25T16:47:00.407779Z,urllc,uesimtun1,26120,367,28804,376,,1,1
2025-11-25T16:47:00.407779Z,mmtc,uesimtun2,28812,431,32776,441,,1,1
2025-11-25T16:47:00.657517Z,embb,uesimtun0,26736,378,29560,387,,1,1
2025-11-25T16:47:00.657517Z,urllc,uesimtun1,26372,370,29056,379,,1,1
2025-11-25T16:47:00.657517Z,mmtc,uesimtun2,29020,434,32944,443,,1,1
2025-11-25T16:47:00.907833Z,embb,uesimtun0,26820,379,29644,388,,1,1
2025-11-25T16:47:00.907833Z,urllc,uesimtun1,26580,373,29284,382,,1,1
2025-11-25T16:47:00.907833Z,mmtc,uesimtun2,29144,436,33088,445,,1,1
2025-11-25T16:47:01.157521Z,embb,uesimtun0,26904,380,29728,389,,1,1
2025-11-25T16:47:01.157521Z,urllc,uesimtun1,26664,374,29368,383,,1,1
2025-11-25T16:47:01.157521Z,mmtc,uesimtun2,29228,437,33172,446,,1,1
2025-11-25T16:47:01.407745Z,embb,uesimtun0,26988,381,29812,390,,1,1
2025-11-25T16:47:01.407745Z,urllc,uesimtun1,26828,377,29572,386,,1,1
2025-11-25T16:47:01.407745Z,mmtc,uesimtun2,29352,439,33316,448,,1,1
2025-11-25T16:47:01.657978Z,embb,uesimtun0,27448,387,30292,396,,1,1
2025-11-25T16:47:01.657978Z,urllc,uesimtun1,27248,382,29992,391,,1,1
2025-11-25T16:47:01.657978Z,mmtc,uesimtun2,29520,441,33484,450,,1,1
2025-11-25T16:47:01.907808Z,embb,uesimtun0,27572,389,30436,398,,1,1
2025-11-25T16:47:01.907808Z,urllc,uesimtun1,27332,383,30076,392,,1,1
2025-11-25T16:47:01.907808Z,mmtc,uesimtun2,29688,443,33652,452,,1,1
2025-11-25T16:47:02.157736Z,embb,uesimtun0,27656,390,30520,399,,1,1
2025-11-25T16:47:02.157736Z,urllc,uesimtun1,27416,384,30160,393,,1,1
2025-11-25T16:47:02.157736Z,mmtc,uesimtun2,29772,444,33736,453,,1,1
2025-11-25T16:47:02.407657Z,embb,uesimtun0,27740,391,30604,400,,1,1
2025-11-25T16:47:02.407657Z,urllc,uesimtun1,27620,388,30424,397,,1,1
2025-11-25T16:47:02.407657Z,mmtc,uesimtun2,29936,447,33940,456,,1,1
2025-11-25T16:47:02.657630Z,embb,uesimtun0,28032,395,30916,404,,1,1
2025-11-25T16:47:02.657630Z,urllc,uesimtun1,28124,394,30928,403,,1,1
2025-11-25T16:47:02.657630Z,mmtc,uesimtun2,30188,450,34192,459,,1,1
2025-11-25T16:47:02.907560Z,embb,uesimtun0,28156,397,31060,406,,1,1
2025-11-25T16:47:02.907560Z,urllc,uesimtun1,28208,395,31012,404,,1,1
2025-11-25T16:47:02.907560Z,mmtc,uesimtun2,30356,452,34360,461,,1,1
2025-11-25T16:47:03.158338Z,embb,uesimtun0,28240,398,31144,407,,1,1
2025-11-25T16:47:03.158338Z,urllc,uesimtun1,28292,396,31096,405,,1,1
2025-11-25T16:47:03.158338Z,mmtc,uesimtun2,30440,453,34444,462,,1,1
2025-11-25T16:47:03.407545Z,embb,uesimtun0,28324,399,31228,408,,1,1
2025-11-25T16:47:03.407545Z,urllc,uesimtun1,28416,398,31240,407,,1,1
2025-11-25T16:47:03.407545Z,mmtc,uesimtun2,30644,457,34708,466,,1,1
2025-11-25T16:47:03.657831Z,embb,uesimtun0,28532,402,31456,411,,1,1
2025-11-25T16:47:03.657831Z,urllc,uesimtun1,28668,401,31492,410,,1,1
2025-11-25T16:47:03.657831Z,mmtc,uesimtun2,31104,463,35188,472,,1,1
2025-11-25T16:47:03.908058Z,embb,uesimtun0,28740,405,31684,414,,1,1
2025-11-25T16:47:03.908058Z,urllc,uesimtun1,28752,402,31576,411,,1,1
2025-11-25T16:47:03.908058Z,mmtc,uesimtun2,31188,464,35272,473,,1,1
2025-11-25T16:47:04.157516Z,embb,uesimtun0,28824,406,31768,415,,1,1
2025-11-25T16:47:04.157516Z,urllc,uesimtun1,28836,403,31660,412,,1,1
2025-11-25T16:47:04.157516Z,mmtc,uesimtun2,31272,465,35356,474,,1,1
2025-11-25T16:47:04.408033Z,embb,uesimtun0,28908,407,31852,416,,1,1
2025-11-25T16:47:04.408033Z,urllc,uesimtun1,29000,406,31864,415,,1,1
2025-11-25T16:47:04.408033Z,mmtc,uesimtun2,31356,466,35440,475,,1,1
2025-11-25T16:47:04.657735Z,embb,uesimtun0,29368,413,32332,422,,1,1
2025-11-25T16:47:04.657735Z,urllc,uesimtun1,29252,409,32116,418,,1,1
2025-11-25T16:47:04.657735Z,mmtc,uesimtun2,31940,474,36064,483,,1,1
2025-11-25T16:47:04.958065Z,embb,uesimtun0,29576,416,32560,425,,1,1
2025-11-25T16:47:04.958065Z,urllc,uesimtun1,29336,410,32200,419,,1,1
2025-11-25T16:47:04.958065Z,mmtc,uesimtun2,32024,475,36148,484,,1,1
2025-11-25T16:47:05.157722Z,embb,uesimtun0,29660,417,32644,426,,1,1
2025-11-25T16:47:05.157722Z,urllc,uesimtun1,29420,411,32284,420,,1,1
2025-11-25T16:47:05.157722Z,mmtc,uesimtun2,32108,476,36232,485,,1,1
2025-11-25T16:47:05.407738Z,embb,uesimtun0,29744,418,32728,427,,1,1
2025-11-25T16:47:05.407738Z,urllc,uesimtun1,29544,413,32428,422,,1,1
2025-11-25T16:47:05.407738Z,mmtc,uesimtun2,32232,478,36376,487,,1,1
2025-11-25T16:47:05.657655Z,embb,uesimtun0,30204,424,33208,433,,1,1
2025-11-25T16:47:05.657655Z,urllc,uesimtun1,29880,417,32764,426,,1,1
2025-11-25T16:47:05.657655Z,mmtc,uesimtun2,32644,485,36868,494,,1,1
2025-11-25T16:47:05.957066Z,embb,uesimtun0,30288,425,33292,434,,1,1
2025-11-25T16:47:05.957066Z,urllc,uesimtun1,29964,418,32848,427,,1,1
2025-11-25T16:47:05.957066Z,mmtc,uesimtun2,32728,486,36952,495,,1,1
2025-11-25T16:47:06.157591Z,embb,uesimtun0,30372,426,33376,435,,1,1
2025-11-25T16:47:06.157591Z,urllc,uesimtun1,30048,419,32932,428,,1,1
2025-11-25T16:47:06.157591Z,mmtc,uesimtun2,32812,487,37096,497,,1,1
2025-11-25T16:47:06.454629Z,embb,uesimtun0,30456,427,33460,436,,1,1
2025-11-25T16:47:06.454629Z,urllc,uesimtun1,30300,422,33184,431,,1,1
2025-11-25T16:47:06.454629Z,mmtc,uesimtun2,32936,489,37180,498,,1,1
2025-11-25T16:47:06.705819Z,embb,uesimtun0,30748,431,33772,440,,1,1
2025-11-25T16:47:06.705819Z,urllc,uesimtun1,30468,424,33352,433,,1,1
