ts,slice,ifname,rx_bytes,rx_pkts,tx_bytes,tx_pkts,probe_rtt_ms,probe_loss,tun_exists
2025-11-25T15:31:00.083590Z,embb,uesimtun0,130096,2530,2044364996,1488165,,1,1
2025-11-25T15:31:00.083590Z,urllc,uesimtun1,24395,427,191523823,2081912,,1,1
2025-11-25T15:31:00.083590Z,mmtc,uesimtun2,36282,613,63081256,46543,,1,1
2025-11-25T15:31:01.084136Z,embb,uesimtun0,130096,2530,2082670965,1516016,,1,1
2025-11-25T15:31:01.084136Z,urllc,uesimtun1,24395,427,195120481,2121008,,1,1
2025-11-25T15:31:01.084136Z,mmtc,uesimtun2,36282,613,63081896,46553,,1,1
2025-11-25T15:31:02.084339Z,embb,uesimtun0,130096,2530,2120722394,1543683,,1,1
2025-11-25T15:31:02.084339Z,urllc,uesimtun1,24395,427,198715565,2160087,,1,1
2025-11-25T15:31:02.084339Z,mmtc,uesimtun2,36282,613,63082425,46561,,1,1
2025-11-25T15:31:03.084074Z,embb,uesimtun0,130096,2530,2158991297,1571509,,1,1
2025-11-25T15:31:03.084074Z,urllc,uesimtun1,24395,427,202309082,2199149,,1,1
2025-11-25T15:31:03.084074Z,mmtc,uesimtun2,36282,613,63083134,46571,,1,1
2025-11-25T15:31:04.083914Z,embb,uesimtun0,130096,2530,2197242222,1599321,,1,1
2025-11-25T15:31:04.083914Z,urllc,uesimtun1,24395,427,205903678,2238222,,1,1
2025-11-25T15:31:04.083914Z,mmtc,uesimtun2,36282,613,63083819,46582,,1,1
2025-11-25T15:31:05.084104Z,embb,uesimtun0,130096,2530,2235551228,1627179,,1,1
2025-11-25T15:31:05.084104Z,urllc,uesimtun1,24395,427,209493762,2277247,,1,1
2025-11-25T15:31:05.084104Z,mmtc,uesimtun2,36282,613,63084595,46595,,1,1
2025-11-25T15:31:06.084309Z,embb,uesimtun0,130096,2530,2273833993,1655016,,1,1
2025-11-25T15:31:06.084309Z,urllc,uesimtun1,24395,427,213092139,2316363,,1,1
2025-11-25T15:31:06.084309Z,mmtc,uesimtun2,36282,613,63085232,46605,,1,1
2025-11-25T15:31:07.084036Z,embb,uesimtun0,130096,2530,2312102561,1682837,,1,1
2025-11-25T15:31:07.084036Z,urllc,uesimtun1,24395,427,216687395,2355445,,1,1
2025-11-25T15:31:07.084036Z,mmtc,uesimtun2,36282,613,63086073,46619,,1,1
2025-11-25T15:31:08.084273Z,embb,uesimtun0,130096,2530,2350389053,1710672,,1,1
2025-11-25T15:31:08.084273Z,urllc,uesimtun1,24395,427,220280875,2394509,,1,1
2025-11-25T15:31:08.084273Z,mmtc,uesimtun2,36282,613,63086597,46628,,1,1
2025-11-25T15:31:09.084008Z,embb,uesimtun0,130096,2530,2388640934,1738478,,1,1
2025-11-25T15:31:09.084008Z,urllc,uesimtun1,24395,427,223876155,2433591,,1,1
2025-11-25T15:31:09.084008Z,mmtc,uesimtun2,36282,613,63087289,46639,,1,1
2025-11-25T15:31:10.084255Z,embb,uesimtun0,130096,2530,2426949196,1766324,,1,1
2025-11-25T15:31:10.084255Z,urllc,uesimtun1,24395,427,227469875,2472657,,1,1
2025-11-25T15:31:10.084255Z,mmtc,uesimtun2,36282,613,63087861,46648,,1,1
2025-11-25T15:31:11.084002Z,embb,uesimtun0,130096,2530,2465198176,1794126,,1,1
2025-11-25T15:31:11.084002Z,urllc,uesimtun1,24395,427,231038527,2511450,,1,1
2025-11-25T15:31:11.084002Z,mmtc,uesimtun2,36282,613,63088433,46657,,1,1
2025-11-25T15:31:12.083860Z,embb,uesimtun0,130096,2530,2503468120,1821948,,1,1
2025-11-25T15:31:12.083860Z,urllc,uesimtun1,24395,427,234634304,2550539,,1,1
2025-11-25T15:31:12.083860Z,mmtc,uesimtun2,36282,613,63089154,46668,,1,1
2025-11-25T15:31:13.084478Z,embb,uesimtun0,130096,2530,2541788771,1849803,,1,1
2025-11-25T15:31:13.084478Z,urllc,uesimtun1,24395,427,238230860,2589634,,1,1
