ts,slice,ifname,rx_bytes,rx_pkts,tx_bytes,tx_pkts,probe_rtt_ms,probe_loss,tun_exists
2025-11-25T15:42:56.751233Z,embb,uesimtun0,1710919,34085,9417935532,6872717,,1,1
2025-11-25T15:42:56.751233Z,mmtc,uesimtun1,428121,7525,748347505,551137,1.384,0,1
2025-11-25T15:42:56.751233Z,urllc,uesimtun2,306366,5431,1606685619,10858811,1.529,0,1
2025-11-25T15:42:57.752431Z,embb,uesimtun0,1713696,34139,9437102405,6886696,109.713,0,1
2025-11-25T15:42:57.752431Z,mmtc,uesimtun1,429830,7558,751449345,553417,1.645,0,1
2025-11-25T15:42:57.752431Z,urllc,uesimtun2,306919,5440,1609340992,10876757,1.532,0,1
2025-11-25T15:42:58.751511Z,embb,uesimtun0,1717673,34218,9455589115,6900196,,1,1
2025-11-25T15:42:58.751511Z,mmtc,uesimtun1,431579,7593,755550504,556429,1.415,0,1
2025-11-25T15:42:58.751511Z,urllc,uesimtun2,307215,5444,1612817364,10900248,2.106,0,1
2025-11-25T15:42:59.751484Z,embb,uesimtun0,1721482,34294,9474284759,6913845,,1,1
2025-11-25T15:42:59.751484Z,mmtc,uesimtun1,432385,7608,759155244,559063,7.910,0,1
2025-11-25T15:42:59.751484Z,urllc,uesimtun2,307712,5453,1615890214,10921015,3.163,0,1
2025-11-25T15:43:00.751656Z,embb,uesimtun0,1724425,34354,9493421378,6927804,120.353,0,1
2025-11-25T15:43:00.751656Z,mmtc,uesimtun1,432706,7615,762281974,561342,2.421,0,1
2025-11-25T15:43:00.751656Z,urllc,uesimtun2,308092,5458,1618555038,10939023,2.413,0,1
2025-11-25T15:43:01.752113Z,embb,uesimtun0,1727640,34417,9512578641,6941777,117.426,0,1
2025-11-25T15:43:01.752113Z,mmtc,uesimtun1,433259,7624,765875259,563961,2.459,0,1
2025-11-25T15:43:01.752113Z,urllc,uesimtun2,308304,5461,1621631282,10959810,1.634,0,1
2025-11-25T15:43:02.751481Z,embb,uesimtun0,1731103,34486,9531703143,6955731,119.445,0,1
2025-11-25T15:43:02.751481Z,mmtc,uesimtun1,435201,7654,766154071,564193,2.276,0,1
2025-11-25T15:43:02.751481Z,urllc,uesimtun2,309287,5479,1624719681,10980686,1.525,0,1
2025-11-25T15:43:03.751498Z,embb,uesimtun0,1734931,34563,9549314666,6968596,108.941,0,1
2025-11-25T15:43:03.751498Z,mmtc,uesimtun1,435782,7664,766169809,564213,105.204,0,1
2025-11-25T15:43:03.751498Z,urllc,uesimtun2,310675,5506,1628087460,11003455,1.593,0,1
2025-11-25T15:43:04.752166Z,embb,uesimtun0,1738756,34639,9568472810,6982584,,1,1
2025-11-25T15:43:04.752166Z,mmtc,uesimtun1,436279,7673,766186839,564233,5.040,0,1
2025-11-25T15:43:04.752166Z,urllc,uesimtun2,312107,5533,1631112650,11023909,4.930,0,1
2025-11-25T15:43:05.751483Z,embb,uesimtun0,1742412,34712,9587603182,6996548,127.432,0,1
2025-11-25T15:43:05.751483Z,mmtc,uesimtun1,437655,7700,766200657,564265,2.875,0,1
2025-11-25T15:43:05.751483Z,urllc,uesimtun2,312536,5540,1633807455,11042121,1.585,0,1
2025-11-25T15:43:06.751618Z,embb,uesimtun0,1745767,34778,9606741372,7010510,,1,1
2025-11-25T15:43:06.751618Z,mmtc,uesimtun1,438208,7709,766217802,564286,1.663,0,1
2025-11-25T15:43:06.751618Z,urllc,uesimtun2,312872,5545,1637268287,11065507,1.990,0,1
2025-11-25T15:43:07.751483Z,embb,uesimtun0,1748893,34841,9625889130,7024479,,1,1
2025-11-25T15:43:07.751483Z,mmtc,uesimtun1,439355,7730,766232806,564315,2.988,0,1
2025-11-25T15:43:07.751483Z,urllc,uesimtun2,313453,5555,1640354393,11086364,3.242,0,1
2025-11-25T15:43:08.751683Z,embb,uesimtun0,1752505,34914,9645022103,7038443,,1,1
2025-11-25T15:43:08.751683Z,mmtc,uesimtun1,440422,7751,766249072,564344,18.239,0,1
2025-11-25T15:43:08.751683Z,urllc,uesimtun2,313665,5558,1643459729,11107348,0.834,0,1
2025-11-25T15:43:09.751746Z,embb,uesimtun0,1755953,34981,9664171766,7052420,,1,1
2025-11-25T15:43:09.751746Z,mmtc,uesimtun1,441320,7761,766252852,564359,1.336,0,1
2025-11-25T15:43:09.751746Z,urllc,uesimtun2,314592,5576,1646500081,11127900,1.961,0,1
